Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicate/query_11.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
paperTitle                                                                        datasetName                                                                       implementationName
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

#phramacovigilance - Exploring Deep Learning Techniques for Identifying Mentions of Medication Intake from Twitter                                                                                                                                                                    implemenation of #phramacovigilance - Exploring Deep Learning Techniques for Identifying Mentions of Medication Intake from Twitter
$ boldsymbolγ$-Net: Superresolving SAR Tomographic Inversion via Deep Learning                                                                                                                                                                    implemenation of $ boldsymbolγ$-Net: Superresolving SAR Tomographic Inversion via Deep Learning
A Dataset for Deep Learning-based Bone Structure Analyses in Total Hip Arthroplasty                                                                                                                                                                    implemenation of A Dataset for Deep Learning-based Bone Structure Analyses in Total Hip Arthroplasty
A Dataset-free Deep learning Method for Low-Dose CT Image Reconstruction                                                                                                                                                                    implemenation of A Dataset-free Deep learning Method for Low-Dose CT Image Reconstruction
A Decade Survey of Content Based Image Retrieval using Deep Learning                                                                                                                                                                    implemenation of A Decade Survey of Content Based Image Retrieval using Deep Learning
A Deep Dive into the Connections Between the Renormalization Group and Deep Learning in the Ising Model                                                                                                                                                                    implemenation of A Deep Dive into the Connections Between the Renormalization Group and Deep Learning in the Ising Model
A Deep Learning Algorithm for High-Dimensional Exploratory Item Factor Analysis                                                                                                                                                                    implemenation of A Deep Learning Algorithm for High-Dimensional Exploratory Item Factor Analysis
A Deep Learning Algorithm for One-step Contour Aware Nuclei Segmentation of Histopathological Images                                                                                                                                                                    implemenation of A Deep Learning Algorithm for One-step Contour Aware Nuclei Segmentation of Histopathological Images
A Deep Learning Algorithm for Piecewise Linear Interface Construction (PLIC)                                                                                                                                                                    implemenation of A Deep Learning Algorithm for Piecewise Linear Interface Construction (PLIC)
A Deep Learning Analysis of Climate Change, Innovation, and Uncertainty                                                                                                                                                                    implemenation of A Deep Learning Analysis of Climate Change, Innovation, and Uncertainty
A Deep Learning Anomaly Detection Method in Textual Data                                                                                                                                                                    implemenation of A Deep Learning Anomaly Detection Method in Textual Data
A Deep Learning Approach Based on Graphs to Detect Plantation Lines                                                                                                                                                                    implemenation of A Deep Learning Approach Based on Graphs to Detect Plantation Lines
A Deep Learning Approach To Dead-Reckoning Navigation For Autonomous Underwater Vehicles With Limited Sensor Payloads                                                                                                                                                                    implemenation of A Deep Learning Approach To Dead-Reckoning Navigation For Autonomous Underwater Vehicles With Limited Sensor Payloads
A Deep Learning Approach To Estimation Using Measurements Received Over a Network                                                                                                                                                                    implemenation of A Deep Learning Approach To Estimation Using Measurements Received Over a Network
A Deep Learning Approach To Multiple Kernel Fusion                                                                                                                                                                    implemenation of A Deep Learning Approach To Multiple Kernel Fusion
A Deep Learning Approach Towards Generating High-fidelity Diverse Synthetic Battery Datasets                                                                                                                                                                    implemenation of A Deep Learning Approach Towards Generating High-fidelity Diverse Synthetic Battery Datasets
A Deep Learning Approach Towards Prediction of Faults in Wind Turbines                                                                                                                                                                    implemenation of A Deep Learning Approach Towards Prediction of Faults in Wind Turbines
A Deep Learning Approach Towards Student Performance Prediction in Online Courses: Challenges Based on a Global Perspective                                                                                                                                                                    implemenation of A Deep Learning Approach Towards Student Performance Prediction in Online Courses: Challenges Based on a Global Perspective
A Deep Learning Approach Using Masked Image Modeling for Reconstruction of Undersampled K-spaces                                                                                                                                                                    implemenation of A Deep Learning Approach Using Masked Image Modeling for Reconstruction of Undersampled K-spaces
A Deep Learning Approach Utilizing Covariance Matrix Analysis for the ISBI Edited MRS Reconstruction Challenge                                                                                                                                                                    implemenation of A Deep Learning Approach Utilizing Covariance Matrix Analysis for the ISBI Edited MRS Reconstruction Challenge
A Deep Learning Approach for Active Anomaly Detection of Extragalactic Transients                                                                                                                                                                    implemenation of A Deep Learning Approach for Active Anomaly Detection of Extragalactic Transients
A Deep Learning Approach for Automatic Detection of Fake News                                                                                                                                                                    implemenation of A Deep Learning Approach for Automatic Detection of Fake News
A Deep Learning Approach for Automatic Detection of Qualitative Features of Lecturing                                                                                                                                                                    implemenation of A Deep Learning Approach for Automatic Detection of Qualitative Features of Lecturing
A Deep Learning Approach for Blind Drift Calibration of Sensor Networks                                                                                                                                                                    implemenation of A Deep Learning Approach for Blind Drift Calibration of Sensor Networks
A Deep Learning Approach for Brain Tumor Classification and Segmentation Using a Multiscale Convolutional Neural Network                                                                                                                                                                    implemenation of A Deep Learning Approach for Brain Tumor Classification and Segmentation Using a Multiscale Convolutional Neural Network
A Deep Learning Approach for COVID-19 & Viral Pneumonia Screening with X-ray Images                                                                                                                                                                    implemenation of A Deep Learning Approach for COVID-19 & Viral Pneumonia Screening with X-ray Images
A Deep Learning Approach for COVID-19 Trend Prediction                                                                                                                                                                    implemenation of A Deep Learning Approach for COVID-19 Trend Prediction
A Deep Learning Approach for Characterizing Major Galaxy Mergers                                                                                                                                                                    implemenation of A Deep Learning Approach for Characterizing Major Galaxy Mergers
A Deep Learning Approach for Determining Effects of Tuta Absoluta in Tomato Plants                                                                                                                                                                    implemenation of A Deep Learning Approach for Determining Effects of Tuta Absoluta in Tomato Plants
A Deep Learning Approach for Diabetic Retinopathy detection using Transfer Learning                                                                                                                                                                    implemenation of A Deep Learning Approach for Diabetic Retinopathy detection using Transfer Learning
A Deep Learning Approach for Digital Color Reconstruction of Lenticular Films                                                                                                                                                                    implemenation of A Deep Learning Approach for Digital Color Reconstruction of Lenticular Films
A Deep Learning Approach for Dynamic Balance Sheet Stress Testing                                                                                                                                                                    implemenation of A Deep Learning Approach for Dynamic Balance Sheet Stress Testing
A Deep Learning Approach for Dynamic Survival Analysis with Competing Risks                                                                                                                                                                    implemenation of A Deep Learning Approach for Dynamic Survival Analysis with Competing Risks
A Deep Learning Approach for Expert Identification in Question Answering Communities                                                                                                                                                                    implemenation of A Deep Learning Approach for Expert Identification in Question Answering Communities
A Deep Learning Approach for Forecasting Air Pollution in South Korea Using LSTM                                                                                                                                                                    implemenation of A Deep Learning Approach for Forecasting Air Pollution in South Korea Using LSTM
A Deep Learning Approach for Generating Soft Range Information from RF Data                                                                                                                                                                    implemenation of A Deep Learning Approach for Generating Soft Range Information from RF Data
A Deep Learning Approach for Joint Video Frame and Reward Prediction in Atari Games                                                                                                                                                                    implemenation of A Deep Learning Approach for Joint Video Frame and Reward Prediction in Atari Games
A Deep Learning Approach for Low-Latency Packet Loss Concealment of Audio Signals in Networked Music Performance Applications                                                                                                                                                                    implemenation of A Deep Learning Approach for Low-Latency Packet Loss Concealment of Audio Signals in Networked Music Performance Applications
A Deep Learning Approach for Macroscopic Energy Consumption Prediction with Microscopic Quality for Electric Vehicles                                                                                                                                                                    implemenation of A Deep Learning Approach for Macroscopic Energy Consumption Prediction with Microscopic Quality for Electric Vehicles
A Deep Learning Approach for Masking Fetal Gender in Ultrasound Images                                                                                                                                                                    implemenation of A Deep Learning Approach for Masking Fetal Gender in Ultrasound Images
A Deep Learning Approach for Meibomian Gland Atrophy Evaluation in Meibography Images                                                                                                                                                                    implemenation of A Deep Learning Approach for Meibomian Gland Atrophy Evaluation in Meibography Images
A Deep Learning Approach for Mobility-Aware and Energy-Efficient Resource Allocation in MEC                                                                                                                                                                    implemenation of A Deep Learning Approach for Mobility-Aware and Energy-Efficient Resource Allocation in MEC
A Deep Learning Approach for Motion Forecasting Using 4D OCT Data                                                                                                                                                                    implemenation of A Deep Learning Approach for Motion Forecasting Using 4D OCT Data
A Deep Learning Approach for Multi-View Engagement Estimation of Children in a Child-Robot Joint Attention task                                                                                                                                                                    implemenation of A Deep Learning Approach for Multi-View Engagement Estimation of Children in a Child-Robot Joint Attention task
A Deep Learning Approach for Multimodal Deception Detection                                                                                                                                                                    implemenation of A Deep Learning Approach for Multimodal Deception Detection
A Deep Learning Approach for Network-wide Dynamic Traffic Prediction during Hurricane Evacuation                                                                                                                                                                    implemenation of A Deep Learning Approach for Network-wide Dynamic Traffic Prediction during Hurricane Evacuation
A Deep Learning Approach for Ontology Enrichment from Unstructured Text                                                                                                                                                                    implemenation of A Deep Learning Approach for Ontology Enrichment from Unstructured Text
A Deep Learning Approach for Overall Survival Prediction in Lung Cancer with Missing Values                                                                                                                                                                    implemenation of A Deep Learning Approach for Overall Survival Prediction in Lung Cancer with Missing Values
A Deep Learning Approach for Parallel Imaging and Compressed Sensing MRI Reconstruction                                                                                                                                                                    implemenation of A Deep Learning Approach for Parallel Imaging and Compressed Sensing MRI Reconstruction
A Deep Learning Approach for Population Estimation from Satellite Imagery                                                                                                                                                                    implemenation of A Deep Learning Approach for Population Estimation from Satellite Imagery
A Deep Learning Approach for Pose Estimation from Volumetric OCT Data                                                                                                                                                                    implemenation of A Deep Learning Approach for Pose Estimation from Volumetric OCT Data
A Deep Learning Approach for Predicting Spatiotemporal Dynamics From Sparsely Observed Data                                                                                                                                                                    implemenation of A Deep Learning Approach for Predicting Spatiotemporal Dynamics From Sparsely Observed Data
A Deep Learning Approach for Predicting Two-dimensional Soil Consolidation Using Physics-Informed Neural Networks (PINN)                                                                                                                                                                    implemenation of A Deep Learning Approach for Predicting Two-dimensional Soil Consolidation Using Physics-Informed Neural Networks (PINN)
A Deep Learning Approach for Privacy Preservation in Assisted Living                                                                                                                                                                    implemenation of A Deep Learning Approach for Privacy Preservation in Assisted Living
A Deep Learning Approach for Real-Time 3D Human Action Recognition from Skeletal Data                                                                                                                                                                    implemenation of A Deep Learning Approach for Real-Time 3D Human Action Recognition from Skeletal Data
A Deep Learning Approach for Repairing Missing Activity Labels in Event Logs for Process Mining                                                                                                                                                                    implemenation of A Deep Learning Approach for Repairing Missing Activity Labels in Event Logs for Process Mining
A Deep Learning Approach for Robust Corridor Following                                                                                                                                                                    implemenation of A Deep Learning Approach for Robust Corridor Following
A Deep Learning Approach for SAR Tomographic Imaging of Forested Areas                                                                                                                                                                    implemenation of A Deep Learning Approach for SAR Tomographic Imaging of Forested Areas
A Deep Learning Approach for Selective Relevance Feedback                                                                                                                                                                    implemenation of A Deep Learning Approach for Selective Relevance Feedback
A Deep Learning Approach for Semantic Segmentation of Unbalanced Data in Electron Tomography of Catalytic Materials                                                                                                                                                                    implemenation of A Deep Learning Approach for Semantic Segmentation of Unbalanced Data in Electron Tomography of Catalytic Materials
A Deep Learning Approach for Similar Languages, Varieties and Dialects                                                                                                                                                                    implemenation of A Deep Learning Approach for Similar Languages, Varieties and Dialects
A Deep Learning Approach for Survival Clustering without End-of-life Signals                                                                                                                                                                    implemenation of A Deep Learning Approach for Survival Clustering without End-of-life Signals
A Deep Learning Approach for Thermal Plume Prediction of Groundwater Heat Pumps                                                                                                                                                                    implemenation of A Deep Learning Approach for Thermal Plume Prediction of Groundwater Heat Pumps
A Deep Learning Approach for Tweet Classification and Rescue Scheduling for Effective Disaster Management                                                                                                                                                                    implemenation of A Deep Learning Approach for Tweet Classification and Rescue Scheduling for Effective Disaster Management
A Deep Learning Approach for Virtual Contrast Enhancement in Contrast Enhanced Spectral Mammography                                                                                                                                                                    implemenation of A Deep Learning Approach for Virtual Contrast Enhancement in Contrast Enhanced Spectral Mammography
A Deep Learning Approach for the Detection of COVID-19 from Chest X-Ray Images using Convolutional Neural Networks                                                                                                                                                                    implemenation of A Deep Learning Approach for the Detection of COVID-19 from Chest X-Ray Images using Convolutional Neural Networks
A Deep Learning Approach for the Segmentation of Electroencephalography Data in Eye Tracking Applications                                                                                                                                                                    implemenation of A Deep Learning Approach for the Segmentation of Electroencephalography Data in Eye Tracking Applications
A Deep Learning Approach for the solution of Probability Density Evolution of Stochastic Systems                                                                                                                                                                    implemenation of A Deep Learning Approach for the solution of Probability Density Evolution of Stochastic Systems
A Deep Learning Approach to Analyzing Continuous-Time Systems                                                                                                                                                                    implemenation of A Deep Learning Approach to Analyzing Continuous-Time Systems
A Deep Learning Approach to Anomaly Sequence Detection for High-Resolution Monitoring of Power Systems                                                                                                                                                                    implemenation of A Deep Learning Approach to Anomaly Sequence Detection for High-Resolution Monitoring of Power Systems
A Deep Learning Approach to Automate High-Resolution Blood Vessel Reconstruction on Computerized Tomography Images With or Without the Use of Contrast Agent                                                                                                                                                                    implemenation of A Deep Learning Approach to Automate High-Resolution Blood Vessel Reconstruction on Computerized Tomography Images With or Without the Use of Contrast Agent
A Deep Learning Approach to Behavior-Based Learner Modeling                                                                                                                                                                    implemenation of A Deep Learning Approach to Behavior-Based Learner Modeling
A Deep Learning Approach to Block-based Compressed Sensing of Images                                                                                                                                                                    implemenation of A Deep Learning Approach to Block-based Compressed Sensing of Images
A Deep Learning Approach to Data-driven Parameterizations for Statistical Parametric Speech Synthesis                                                                                                                                                                    implemenation of A Deep Learning Approach to Data-driven Parameterizations for Statistical Parametric Speech Synthesis
A Deep Learning Approach to Denoise Optical Coherence Tomography Images of the Optic Nerve Head                                                                                                                                                                    implemenation of A Deep Learning Approach to Denoise Optical Coherence Tomography Images of the Optic Nerve Head
A Deep Learning Approach to Detect Lean Blowout in Combustion Systems                                                                                                                                                                    implemenation of A Deep Learning Approach to Detect Lean Blowout in Combustion Systems
A Deep Learning Approach to Diabetes Diagnosis                                                                                                                                                                    implemenation of A Deep Learning Approach to Diabetes Diagnosis
A Deep Learning Approach to Diagnosing Multiple Sclerosis from Smartphone Data                                                                                                                                                                    implemenation of A Deep Learning Approach to Diagnosing Multiple Sclerosis from Smartphone Data
A Deep Learning Approach to Digitally Stain Optical Coherence Tomography Images of the Optic Nerve Head                                                                                                                                                                    implemenation of A Deep Learning Approach to Digitally Stain Optical Coherence Tomography Images of the Optic Nerve Head
A Deep Learning Approach to Drone Monitoring                                                                                                                                                                    implemenation of A Deep Learning Approach to Drone Monitoring
A Deep Learning Approach to Dst Index Prediction                                                                                                                                                                    implemenation of A Deep Learning Approach to Dst Index Prediction
A Deep Learning Approach to Fast, Format-Agnostic Detection of Malicious Web Content                                                                                                                                                                    implemenation of A Deep Learning Approach to Fast, Format-Agnostic Detection of Malicious Web Content
A Deep Learning Approach to Generating Photospheric Vector Magnetograms of Solar Active Regions for SOHO/MDI Using SDO/HMI and BBSO Data                                                                                                                                                                    implemenation of A Deep Learning Approach to Generating Photospheric Vector Magnetograms of Solar Active Regions for SOHO/MDI Using SDO/HMI and BBSO Data
A Deep Learning Approach to Geographical Candidate Selection through Toponym Matching                                                                                                                                                                    implemenation of A Deep Learning Approach to Geographical Candidate Selection through Toponym Matching
A Deep Learning Approach to Grasping the Invisible                                                                                                                                                                    implemenation of A Deep Learning Approach to Grasping the Invisible
A Deep Learning Approach to Integrate Human-Level Understanding in a Chatbot                                                                                                                                                                    implemenation of A Deep Learning Approach to Integrate Human-Level Understanding in a Chatbot
A Deep Learning Approach to Language-independent Gender Prediction on Twitter                                                                                                                                                                    implemenation of A Deep Learning Approach to Language-independent Gender Prediction on Twitter
A Deep Learning Approach to Location- and Orientation-aided 3D Beam Selection for mmWave Communications                                                                                                                                                                    implemenation of A Deep Learning Approach to Location- and Orientation-aided 3D Beam Selection for mmWave Communications
A Deep Learning Approach to Mapping Irrigation: IrrMapper-U-Net                                                                                                                                                                    implemenation of A Deep Learning Approach to Mapping Irrigation: IrrMapper-U-Net
A Deep Learning Approach to Object Affordance Segmentation                                                                                                                                                                    implemenation of A Deep Learning Approach to Object Affordance Segmentation
A Deep Learning Approach to Predict Blood Pressure from PPG Signals                                                                                                                                                                    implemenation of A Deep Learning Approach to Predict Blood Pressure from PPG Signals
A Deep Learning Approach to Predict Hamburg Rutting Curve                                                                                                                                                                    implemenation of A Deep Learning Approach to Predict Hamburg Rutting Curve
A Deep Learning Approach to Predicting Collateral Flow in Stroke Patients Using Radiomic Features from Perfusion Images                                                                                                                                                                    implemenation of A Deep Learning Approach to Predicting Collateral Flow in Stroke Patients Using Radiomic Features from Perfusion Images
A Deep Learning Approach to Predicting Ventilator Parameters for Mechanically Ventilated Septic Patients                                                                                                                                                                    implemenation of A Deep Learning Approach to Predicting Ventilator Parameters for Mechanically Ventilated Septic Patients
A Deep Learning Approach to Private Data Sharing of Medical Images Using Conditional GANs                                                                                                                                                                    implemenation of A Deep Learning Approach to Private Data Sharing of Medical Images Using Conditional GANs
A Deep Learning Approach to Probabilistic Forecasting of Weather                                                                                                                                                                    implemenation of A Deep Learning Approach to Probabilistic Forecasting of Weather
A Deep Learning Approach to Radar-based QPE                                                                                                                                                                    implemenation of A Deep Learning Approach to Radar-based QPE
A Deep Learning Approach to Structured Signal Recovery                                                                                                                                                                    implemenation of A Deep Learning Approach to Structured Signal Recovery
A Deep Learning Approach to Teeth Segmentation and Orientation from Panoramic X-rays                                                                                                                                                                    implemenation of A Deep Learning Approach to Teeth Segmentation and Orientation from Panoramic X-rays
A Deep Learning Approach to Tongue Detection for Pediatric Population                                                                                                                                                                    implemenation of A Deep Learning Approach to Tongue Detection for Pediatric Population
A Deep Learning Approach to Universal Binary Visible Light Communication Transceiver                                                                                                                                                                    implemenation of A Deep Learning Approach to Universal Binary Visible Light Communication Transceiver
A Deep Learning Approach to Unsupervised Ensemble Learning                                                                                                                                                                    implemenation of A Deep Learning Approach to Unsupervised Ensemble Learning
A Deep Learning Approach to Video Anomaly Detection using Convolutional Autoencoders                                                                                                                                                                    implemenation of A Deep Learning Approach to Video Anomaly Detection using Convolutional Autoencoders
A Deep Learning Approach to the Inversion of Borehole Resistivity Measurements                                                                                                                                                                    implemenation of A Deep Learning Approach to the Inversion of Borehole Resistivity Measurements
A Deep Learning Approach to the Prediction of Drug Side-Effects on Molecular Graphs                                                                                                                                                                    implemenation of A Deep Learning Approach to the Prediction of Drug Side-Effects on Molecular Graphs
A Deep Learning Approach with an Attention Mechanism for Automatic Sleep Stage Classification                                                                                                                                                                    implemenation of A Deep Learning Approach with an Attention Mechanism for Automatic Sleep Stage Classification
A Deep Learning Architecture for De-identification of Patient Notes: Implementation and Evaluation                                                                                                                                                                    implemenation of A Deep Learning Architecture for De-identification of Patient Notes: Implementation and Evaluation
A Deep Learning Architecture for Passive Microwave Precipitation Retrievals using CloudSat and GPM Data                                                                                                                                                                    implemenation of A Deep Learning Architecture for Passive Microwave Precipitation Retrievals using CloudSat and GPM Data
A Deep Learning Architectures for Kidney Disease Classification                                                                                                                                                                    implemenation of A Deep Learning Architectures for Kidney Disease Classification
A Deep Learning Based 6 Degree-of-Freedom Localization Method for Endoscopic Capsule Robots                                                                                                                                                                    implemenation of A Deep Learning Based 6 Degree-of-Freedom Localization Method for Endoscopic Capsule Robots
A Deep Learning Based Analysis-Synthesis Framework For Unison Singing                                                                                                                                                                    implemenation of A Deep Learning Based Analysis-Synthesis Framework For Unison Singing
A Deep Learning Based Approach to Transliteration                                                                                                                                                                    implemenation of A Deep Learning Based Approach to Transliteration
A Deep Learning Based Attack for The Chaos-based Image Encryption                                                                                                                                                                    implemenation of A Deep Learning Based Attack for The Chaos-based Image Encryption
A Deep Learning Based Automated Hand Hygiene Training System                                                                                                                                                                    implemenation of A Deep Learning Based Automated Hand Hygiene Training System
A Deep Learning Based Automatic Defect Analysis Framework for In-situ TEM Ion Irradiations                                                                                                                                                                    implemenation of A Deep Learning Based Automatic Defect Analysis Framework for In-situ TEM Ion Irradiations
A Deep Learning Based Behavioral Approach to Indoor Autonomous Navigation                                                                                                                                                                    implemenation of A Deep Learning Based Behavioral Approach to Indoor Autonomous Navigation
A Deep Learning Based Chatbot for Campus Psychological Therapy                                                                                                                                                                    implemenation of A Deep Learning Based Chatbot for Campus Psychological Therapy
A Deep Learning Based Cost Model for Automatic Code Optimization                                                                                                                                                                    implemenation of A Deep Learning Based Cost Model for Automatic Code Optimization
A Deep Learning Based Fast Image Saliency Detection Algorithm                                                                                                                                                                    implemenation of A Deep Learning Based Fast Image Saliency Detection Algorithm
A Deep Learning Based Resource Allocation Scheme in Vehicular Communication Systems                                                                                                                                                                    implemenation of A Deep Learning Based Resource Allocation Scheme in Vehicular Communication Systems
A Deep Learning Based Resource Allocator for Communication Systems with Dynamic User Utility Demands                                                                                                                                                                    implemenation of A Deep Learning Based Resource Allocator for Communication Systems with Dynamic User Utility Demands
A Deep Learning Based Ternary Task Classification System Using Gramian Angular Summation Field in fNIRS Neuroimaging Data                                                                                                                                                                    implemenation of A Deep Learning Based Ternary Task Classification System Using Gramian Angular Summation Field in fNIRS Neuroimaging Data
A Deep Learning Based Workflow for Detection of Lung Nodules With Chest Radiograph                                                                                                                                                                    implemenation of A Deep Learning Based Workflow for Detection of Lung Nodules With Chest Radiograph
A Deep Learning Bidirectional Temporal Tracking Algorithm for Automated Blood Cell Counting from Non-invasive Capillaroscopy Videos                                                                                                                                                                    implemenation of A Deep Learning Bidirectional Temporal Tracking Algorithm for Automated Blood Cell Counting from Non-invasive Capillaroscopy Videos
A Deep Learning Driven Active Framework for Segmentation of Large 3D Shape Collections                                                                                                                                                                    implemenation of A Deep Learning Driven Active Framework for Segmentation of Large 3D Shape Collections
A Deep Learning Driven Algorithmic Pipeline for Autonomous Navigation in Row-Based Crops                                                                                                                                                                    implemenation of A Deep Learning Driven Algorithmic Pipeline for Autonomous Navigation in Row-Based Crops
A Deep Learning Ensemble Framework for Off-Nadir Geocentric Pose Prediction                                                                                                                                                                    implemenation of A Deep Learning Ensemble Framework for Off-Nadir Geocentric Pose Prediction
A Deep Learning Forecaster with Exogenous Variables for Day-Ahead Locational Marginal Price                                                                                                                                                                    implemenation of A Deep Learning Forecaster with Exogenous Variables for Day-Ahead Locational Marginal Price
A Deep Learning Framework for Assessing Physical Rehabilitation Exercises                                                                                                                                                                    implemenation of A Deep Learning Framework for Assessing Physical Rehabilitation Exercises
A Deep Learning Framework for Automatic Diagnosis in Lung Cancer                                                                                                                                                                    implemenation of A Deep Learning Framework for Automatic Diagnosis in Lung Cancer
A Deep Learning Framework for COVID Outbreak Prediction                                                                                                                                                                    implemenation of A Deep Learning Framework for COVID Outbreak Prediction
A Deep Learning Framework for Classification of in vitro Multi-Electrode Array Recordings                                                                                                                                                                    implemenation of A Deep Learning Framework for Classification of in vitro Multi-Electrode Array Recordings
A Deep Learning Framework for Detection of Targets in Thermal Images to Improve Firefighting                                                                                                                                                                    implemenation of A Deep Learning Framework for Detection of Targets in Thermal Images to Improve Firefighting
