Result of /data/leuven/370/vsc37064/new_queries_named_graph/query_10.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
model                                                                             modelName
http://w3id.org/mlsea/pwc/model/SubSpectral%20Normalization%20for%20Neural%20Audio%20Data%20Processing/CP-ResNet%28ch64%29%20w%2F%20SSN%28S%3D2%2C%20A%3DSub%29                                                                                  CP-ResNet(ch64) w/ SSN(S=2, A=Sub)
http://w3id.org/mlsea/pwc/model/Representation%20Learning%20with%20Contrastive%20Predictive%20Coding/CPC%20%28ResNet-101%20V2%29                                                                                  CPC (ResNet-101 V2)
http://w3id.org/mlsea/pwc/model/Data-Efficient%20Image%20Recognition%20with%20Contrastive%20Predictive%20Coding/CPC%20v2%20%28ResNet-161%29                                                                                  CPC v2 (ResNet-161)
http://w3id.org/mlsea/pwc/model/Data-Efficient%20Image%20Recognition%20with%20Contrastive%20Predictive%20Coding/CPC%20v2%20%28ResNet-50%29                                                                                  CPC v2 (ResNet-50)
http://w3id.org/mlsea/pwc/model/Conservative-Progressive%20Collaborative%20Learning%20for%20Semi-supervised%20Semantic%20Segmentation/CPCL%20%28DeepLab%20v3%2B%20with%20ResNet-101%29                                                                                  CPCL (DeepLab v3+ with ResNet-101)
http://w3id.org/mlsea/pwc/model/Conservative-Progressive%20Collaborative%20Learning%20for%20Semi-supervised%20Semantic%20Segmentation/CPCL%20%28DeepLab%20v3%2B%20with%20ResNet-50%29                                                                                  CPCL (DeepLab v3+ with ResNet-50)
http://w3id.org/mlsea/pwc/model/Cascaded%20Partial%20Decoder%20for%20Fast%20and%20Accurate%20Salient%20Object%20Detection/CPD-R%20%28ResNet50%29                                                                                  CPD-R (ResNet50)
http://w3id.org/mlsea/pwc/model/Context%20Prior%20for%20Scene%20Segmentation/CPN%28ResNet-101%29                                                                                  CPN(ResNet-101)
http://w3id.org/mlsea/pwc/model/Semi-Supervised%20Semantic%20Segmentation%20with%20Cross%20Pseudo%20Supervision/CPS%20%28DeepLab%20v3%2B%20with%20ImageNet-pretrained%20ResNet-101%2C%20single%20scale%20inference%29                                                                                  CPS (DeepLab v3+ with ImageNet-pretrained ResNet-101, single scale inference)
http://w3id.org/mlsea/pwc/model/Semi-Supervised%20Semantic%20Segmentation%20with%20Cross%20Pseudo%20Supervision/CPS%20%28DeepLab%20v3%2B%20with%20ResNet-101%29                                                                                  CPS (DeepLab v3+ with ResNet-101)
http://w3id.org/mlsea/pwc/model/Consistency%20Regularization%20for%20Generative%20Adversarial%20Networks/CR-GAN%20%28ResNet%29                                                                                  CR-GAN (ResNet)
http://w3id.org/mlsea/pwc/model/Complementary%20Relation%20Contrastive%20Distillation/CRCD%20%28T%3A%20ResNet-34%20S%3AResNet-18%29                                                                                  CRCD (T: ResNet-34 S:ResNet-18)
http://w3id.org/mlsea/pwc/model/Contrastive%20Representation%20Distillation/CRD%20%28T%3A%20ResNet-34%20S%3AResNet-18%29                                                                                  CRD (T: ResNet-34 S:ResNet-18)
http://w3id.org/mlsea/pwc/model/LaRS%3A%20A%20Diverse%20Panoptic%20Maritime%20Obstacle%20Detection%20Dataset%20and%20Benchmark/CSANet%20%28ResNet-101%29                                                                                  CSANet (ResNet-101)
http://w3id.org/mlsea/pwc/model/Efficient%20Domain%20Generalization%20via%20Common-Specific%20Low-Rank%20Decomposition/CSD%20%28Resnet-18%29                                                                                  CSD (Resnet-18)
http://w3id.org/mlsea/pwc/model/Center%20and%20Scale%20Prediction%3A%20Anchor-free%20Approach%20for%20Pedestrian%20and%20Face%20Detection/CSP%20%28with%20offset%29%20%2B%20ResNet-50                                                                                  CSP (with offset) + ResNet-50
http://w3id.org/mlsea/pwc/model/Channel%20and%20Spatial%20Relation-Propagation%20Network%20for%20RGB-Thermal%20Semantic%20Segmentation/CSRPNet%20%28ResNet-50%29                                                                                  CSRPNet (ResNet-50)
http://w3id.org/mlsea/pwc/model/Occluded%20Video%20Instance%20Segmentation%3A%20A%20Benchmark/CSipMask%20%28ResNet-50%29                                                                                  CSipMask (ResNet-50)
http://w3id.org/mlsea/pwc/model/On%20the%20Unreasonable%20Effectiveness%20of%20Centroids%20in%20Image%20Retrieval/CTL%20Model%20%28ResNet50%2C%20256x128%29                                                                                  CTL Model (ResNet50, 256x128)
http://w3id.org/mlsea/pwc/model/On%20the%20Unreasonable%20Effectiveness%20of%20Centroids%20in%20Image%20Retrieval/CTL%20Model%20%28ResNet50-IBN-A%2C%20320x320%29                                                                                  CTL Model (ResNet50-IBN-A, 320x320)
http://w3id.org/mlsea/pwc/model/CTVIS%3A%20Consistent%20Training%20for%20Online%20Video%20Instance%20Segmentation/CTVIS%20%28ResNet-50%29                                                                                  CTVIS (ResNet-50)
http://w3id.org/mlsea/pwc/model/Simpler%20is%20Better%3A%20Few-shot%20Semantic%20Segmentation%20with%20Classifier%20Weight%20Transformer/CWT%20%28ResNet-101%29                                                                                  CWT (ResNet-101)
http://w3id.org/mlsea/pwc/model/Simpler%20is%20Better%3A%20Few-shot%20Semantic%20Segmentation%20with%20Classifier%20Weight%20Transformer/CWT%20%28ResNet-50%29                                                                                  CWT (ResNet-50)
http://w3id.org/mlsea/pwc/model/CaCo%3A%20Both%20Positive%20and%20Negative%20Samples%20are%20Directly%20Learnable%20via%20Cooperative-adversarial%20Contrastive%20Learning/CaCo%20%28ResNet-50%29                                                                                  CaCo (ResNet-50)
http://w3id.org/mlsea/pwc/model/Deep%20Residual%20Learning%20for%20Image%20Recognition/Cascade%20Mask%20R-CNN%20%28ResNet-50%29                                                                                  Cascade Mask R-CNN (ResNet-50)
http://w3id.org/mlsea/pwc/model/Cascade%20R-CNN%3A%20Delving%20into%20High%20Quality%20Object%20Detection/Cascade%20R-CNN%20%28ResNet-101-FPN%2B%29                                                                                  Cascade R-CNN (ResNet-101-FPN+)
http://w3id.org/mlsea/pwc/model/Cascade%20R-CNN%3A%20Delving%20into%20High%20Quality%20Object%20Detection/Cascade%20R-CNN%20%28ResNet-101-FPN%2B%2C%20cascade%29                                                                                  Cascade R-CNN (ResNet-101-FPN+, cascade)
http://w3id.org/mlsea/pwc/model/InstaBoost%3A%20Boosting%20Instance%20Segmentation%20via%20Probability%20Map%20Guided%20Copy-Pasting/Cascade%20R-CNN%20%28ResNet-101-FPN%2C%20map-guided%29                                                                                  Cascade R-CNN (ResNet-101-FPN, map-guided)
http://w3id.org/mlsea/pwc/model/Cascade%20R-CNN%3A%20High%20Quality%20Object%20Detection%20and%20Instance%20Segmentation/Cascade%20R-CNN%20%28ResNet-50%29                                                                                  Cascade R-CNN (ResNet-50)
http://w3id.org/mlsea/pwc/model/Cascade%20R-CNN%3A%20Delving%20into%20High%20Quality%20Object%20Detection/Cascade%20R-CNN%20%28ResNet-50-FPN%29                                                                                  Cascade R-CNN (ResNet-50-FPN)
http://w3id.org/mlsea/pwc/model/Cascade%20R-CNN%3A%20Delving%20into%20High%20Quality%20Object%20Detection/Cascade%20R-CNN%20%28ResNet-50-FPN%2B%29                                                                                  Cascade R-CNN (ResNet-50-FPN+)
http://w3id.org/mlsea/pwc/model/Cascade%20R-CNN%3A%20Delving%20into%20High%20Quality%20Object%20Detection/Cascade%20R-CNN%20%28ResNet-50-FPN%2B%2C%20cascade%29                                                                                  Cascade R-CNN (ResNet-50-FPN+, cascade)
http://w3id.org/mlsea/pwc/model/InstaBoost%3A%20Boosting%20Instance%20Segmentation%20via%20Probability%20Map%20Guided%20Copy-Pasting/Cascade%20R-CNN-FPN%20%28ResNet-101%2C%20map-guided%29                                                                                  Cascade R-CNN-FPN (ResNet-101, map-guided)
http://w3id.org/mlsea/pwc/model/Simple%20Training%20Strategies%20and%20Model%20Scaling%20for%20Object%20Detection/Cascade%20RCNN-RS%20%28ResNet-200%2C%20single%20scale%29                                                                                  Cascade RCNN-RS (ResNet-200, single scale)
http://w3id.org/mlsea/pwc/model/CenterMask%20%3A%20Real-Time%20Anchor-Free%20Instance%20Segmentation/CenterMask%20%2B%20ResNet-101-FPN                                                                                  CenterMask + ResNet-101-FPN
http://w3id.org/mlsea/pwc/model/CenterMask%20%3A%20Real-Time%20Anchor-Free%20Instance%20Segmentation/CenterMask-Lite%20%28ResNet-50-FPN%29                                                                                  CenterMask-Lite (ResNet-50-FPN)
http://w3id.org/mlsea/pwc/model/CenterMask%20%3A%20Real-Time%20Anchor-Free%20Instance%20Segmentation/CenterMask2%20%28ResNet50%29                                                                                  CenterMask2 (ResNet50)
http://w3id.org/mlsea/pwc/model/SeaDronesSee%3A%20A%20Maritime%20Benchmark%20for%20Detecting%20Humans%20in%20Open%20Water/CenterNet%20ResNet101                                                                                  CenterNet ResNet101
http://w3id.org/mlsea/pwc/model/SeaDronesSee%3A%20A%20Maritime%20Benchmark%20for%20Detecting%20Humans%20in%20Open%20Water/CenterNet%20ResNet18                                                                                  CenterNet ResNet18
http://w3id.org/mlsea/pwc/model/CenterMask%20%3A%20Real-Time%20Anchor-Free%20Instance%20Segmentation/Centermask%20%2B%20ResNet101                                                                                  Centermask + ResNet101
http://w3id.org/mlsea/pwc/model/Scalable%20Multi-Temporal%20Remote%20Sensing%20Change%20Data%20Generation%20via%20Simulating%20Stochastic%20Change%20Process/ChangeStar%281x96%2C%20ResNet-18%2C%20Changen-90k%29                                                                                  ChangeStar(1x96, ResNet-18, Changen-90k)
http://w3id.org/mlsea/pwc/model/Changer%3A%20Feature%20Interaction%20is%20What%20You%20Need%20for%20Change%20Detection/Changer%20%28Ex%2C%20ResNet-18%29                                                                                  Changer (Ex, ResNet-18)
http://w3id.org/mlsea/pwc/model/AKHCRNet%3A%20Bengali%20Handwritten%20Character%20Recognition%20Using%20Deep%20Learning/Chatterjee%2C%20Dutta%20et%20al.%5B1%5D%20Transfer%20Learning%20on%20ResNet-50%2091.13%20%25%20%2850%20Char%29%20%2B%2098.42%25%20%28Numbers%29                                                                                  Chatterjee, Dutta et al.[1] Transfer Learning on ResNet-50 91.13 % (50 Char) + 98.42% (Numbers)
http://w3id.org/mlsea/pwc/model/ClassMix%3A%20Segmentation-Based%20Data%20Augmentation%20for%20Semi-Supervised%20Learning/ClassMix%20%28DeepLabv2%20with%20ResNet101%2C%20MSCOCO%20pre-trained%29                                                                                  ClassMix (DeepLabv2 with ResNet101, MSCOCO pre-trained)
http://w3id.org/mlsea/pwc/model/Exploring%20CLIP%20for%20Assessing%20the%20Look%20and%20Feel%20of%20Images/ClipIQA%2B%20ResNet50                                                                                  ClipIQA+ ResNet50
http://w3id.org/mlsea/pwc/model/Cluster-level%20Feature%20Alignment%20for%20Person%20Re-identification/Cluster-level%20Alignment%20%28Resnet50%20w%2Fo%20RK%29                                                                                  Cluster-level Alignment (Resnet50 w/o RK)
http://w3id.org/mlsea/pwc/model/Contextual%20Convolutional%20Neural%20Networks/Co-ResNet-152                                                                                  Co-ResNet-152
http://w3id.org/mlsea/pwc/model/Co-teaching%3A%20Robust%20Training%20of%20Deep%20Neural%20Networks%20with%20Extremely%20Noisy%20Labels/Co-teaching%20%28Inception-ResNet-v2%29                                                                                  Co-teaching (Inception-ResNet-v2)
http://w3id.org/mlsea/pwc/model/CoDiM%3A%20Learning%20with%20Noisy%20Labels%20via%20Contrastive%20Semi-Supervised%20Learning/CoDiM-Self%20%28Inception-ResNet-v2%29                                                                                  CoDiM-Self (Inception-ResNet-v2)
http://w3id.org/mlsea/pwc/model/CoDiM%3A%20Learning%20with%20Noisy%20Labels%20via%20Contrastive%20Semi-Supervised%20Learning/CoDiM-Sup%20%28Inception-ResNet-v2%29                                                                                  CoDiM-Sup (Inception-ResNet-v2)
http://w3id.org/mlsea/pwc/model/Unsupervised%20Visual%20Representation%20Learning%20by%20Online%20Constrained%20K-Means/CoKe%20%28ResNet-50%29                                                                                  CoKe (ResNet-50)
http://w3id.org/mlsea/pwc/model/Debiasing%2C%20calibrating%2C%20and%20improving%20Semi-supervised%20Learning%20performance%20via%20simple%20Ensemble%20Projector/CoMatch%20%2B%20EPASS%20%28ResNet-50%29                                                                                  CoMatch + EPASS (ResNet-50)
http://w3id.org/mlsea/pwc/model/Collaborative%20Spatiotemporal%20Feature%20Learning%20for%20Video%20Action%20Recognition/CoST%20%28ResNet-101%2C%2032%20frames%29                                                                                  CoST (ResNet-101, 32 frames)
http://w3id.org/mlsea/pwc/model/Collaborative%20Spatiotemporal%20Feature%20Learning%20for%20Video%20Action%20Recognition/CoST%20ResNet-101%20%28ImageNet%20pretrain%29                                                                                  CoST ResNet-101 (ImageNet pretrain)
http://w3id.org/mlsea/pwc/model/Coarse-to-Fine%20Domain%20Adaptive%20Semantic%20Segmentation%20with%20Photometric%20Alignment%20and%20Category-Center%20Regularization/Coarse-to-Fine%28ResNet-101%29                                                                                  Coarse-to-Fine(ResNet-101)
http://w3id.org/mlsea/pwc/model/CompFeat%3A%20Comprehensive%20Feature%20Aggregation%20for%20Video%20Instance%20Segmentation/CompFeat%28ResNet-50%29                                                                                  CompFeat(ResNet-50)
http://w3id.org/mlsea/pwc/model/Generating%20Dynamic%20Kernels%20via%20Transformers%20for%20Lane%20Detection/CondLSTR%20%28ResNet-101%29                                                                                  CondLSTR (ResNet-101)
http://w3id.org/mlsea/pwc/model/Generating%20Dynamic%20Kernels%20via%20Transformers%20for%20Lane%20Detection/CondLSTR%20%28ResNet-18%29                                                                                  CondLSTR (ResNet-18)
http://w3id.org/mlsea/pwc/model/Generating%20Dynamic%20Kernels%20via%20Transformers%20for%20Lane%20Detection/CondLSTR%20%28ResNet-34%29                                                                                  CondLSTR (ResNet-34)
http://w3id.org/mlsea/pwc/model/Generating%20Dynamic%20Kernels%20via%20Transformers%20for%20Lane%20Detection/CondLSTR%28ResNet-101%29                                                                                  CondLSTR(ResNet-101)
http://w3id.org/mlsea/pwc/model/Generating%20Dynamic%20Kernels%20via%20Transformers%20for%20Lane%20Detection/CondLSTR%28ResNet-18%29                                                                                  CondLSTR(ResNet-18)
http://w3id.org/mlsea/pwc/model/Generating%20Dynamic%20Kernels%20via%20Transformers%20for%20Lane%20Detection/CondLSTR%28ResNet-34%29                                                                                  CondLSTR(ResNet-34)
http://w3id.org/mlsea/pwc/model/CondLaneNet%3A%20a%20Top-to-down%20Lane%20Detection%20Framework%20Based%20on%20Conditional%20Convolution/CondLaneNet%28ResNet-18%29                                                                                  CondLaneNet(ResNet-18)
http://w3id.org/mlsea/pwc/model/CondLaneNet%3A%20a%20Top-to-down%20Lane%20Detection%20Framework%20Based%20on%20Conditional%20Convolution/CondLaneNet%28ResNet-34%29                                                                                  CondLaneNet(ResNet-34)
http://w3id.org/mlsea/pwc/model/CondLaneNet%3A%20a%20Top-to-down%20Lane%20Detection%20Framework%20Based%20on%20Conditional%20Convolution/CondLaneNet-L%28ResNet-101%29                                                                                  CondLaneNet-L(ResNet-101)
http://w3id.org/mlsea/pwc/model/CondLaneNet%3A%20a%20Top-to-down%20Lane%20Detection%20Framework%20Based%20on%20Conditional%20Convolution/CondLaneNet-M%28ResNet-34%29                                                                                  CondLaneNet-M(ResNet-34)
http://w3id.org/mlsea/pwc/model/CondLaneNet%3A%20a%20Top-to-down%20Lane%20Detection%20Framework%20Based%20on%20Conditional%20Convolution/CondLaneNet-S%28ResNet-18%29                                                                                  CondLaneNet-S(ResNet-18)
http://w3id.org/mlsea/pwc/model/CondNet%3A%20Conditional%20Classifier%20for%20Scene%20Segmentation/CondNet%28ResNet-101%29                                                                                  CondNet(ResNet-101)
http://w3id.org/mlsea/pwc/model/ConsNet%3A%20Learning%20Consistency%20Graph%20for%20Zero-Shot%20Human-Object%20Interaction%20Detection/ConsNet%20%28ResNet-50%29                                                                                  ConsNet (ResNet-50)
http://w3id.org/mlsea/pwc/model/ConsNet%3A%20Learning%20Consistency%20Graph%20for%20Zero-Shot%20Human-Object%20Interaction%20Detection/ConsNet-F%20%28ResNet-50%29                                                                                  ConsNet-F (ResNet-50)
http://w3id.org/mlsea/pwc/model/An%20Intriguing%20Failing%20of%20Convolutional%20Neural%20Networks%20and%20the%20CoordConv%20Solution/CoordConv%20ResNet-50                                                                                  CoordConv ResNet-50
http://w3id.org/mlsea/pwc/model/Domain%20Adaptive%20Semantic%20Segmentation%20with%20Self-Supervised%20Depth%20Estimation/CorDA%20%28ResNet-101%29                                                                                  CorDA (ResNet-101)
http://w3id.org/mlsea/pwc/model/Domain%20Adaptive%20Semantic%20Segmentation%20with%20Self-Supervised%20Depth%20Estimation/CorDA%28ResNet-101%29                                                                                  CorDA(ResNet-101)
http://w3id.org/mlsea/pwc/model/Self-Supervised%20Learning%20with%20an%20Information%20Maximization%20Criterion/CorInfomax%20%28ResNet18%29                                                                                  CorInfomax (ResNet18)
http://w3id.org/mlsea/pwc/model/Self-Supervised%20Learning%20with%20an%20Information%20Maximization%20Criterion/CorInfomax%20%28ResNet50%29                                                                                  CorInfomax (ResNet50)
http://w3id.org/mlsea/pwc/model/Visual%20Coreference%20Resolution%20in%20Visual%20Dialog%20using%20Neural%20Module%20Networks/CorefNMN%20%28ResNet-152%29                                                                                  CorefNMN (ResNet-152)
http://w3id.org/mlsea/pwc/model/Rethinking%20Visual%20Geo-localization%20for%20Large-Scale%20Applications/CosPlace%20%28ResNet-101%202048-D%29                                                                                  CosPlace (ResNet-101 2048-D)
http://w3id.org/mlsea/pwc/model/Milking%20CowMask%20for%20Semi-Supervised%20Image%20Classification/CowMix%20%28ResNet-152%29                                                                                  CowMix (ResNet-152)
http://w3id.org/mlsea/pwc/model/Generalizing%20Across%20Domains%20via%20Cross-Gradient%20Training/CrossGrad%20%28Resnet-18%29                                                                                  CrossGrad (Resnet-18)
http://w3id.org/mlsea/pwc/model/Crossover%20Learning%20for%20Fast%20Online%20Video%20Instance%20Segmentation/CrossVIS%20%28ResNet-101%29                                                                                  CrossVIS (ResNet-101)
http://w3id.org/mlsea/pwc/model/Crossover%20Learning%20for%20Fast%20Online%20Video%20Instance%20Segmentation/CrossVIS%20%28ResNet-50%29                                                                                  CrossVIS (ResNet-50)
http://w3id.org/mlsea/pwc/model/Crossover%20Learning%20for%20Fast%20Online%20Video%20Instance%20Segmentation/CrossVIS%20%28ResNet-50%2C%20calibration%29                                                                                  CrossVIS (ResNet-50, calibration)
http://w3id.org/mlsea/pwc/model/Coresets%20for%20Robust%20Training%20of%20Neural%20Networks%20against%20Noisy%20Labels/Crust%20%28Inception-ResNet-v2%29                                                                                  Crust (Inception-ResNet-v2)
http://w3id.org/mlsea/pwc/model/Towards%20Recognizing%20Unseen%20Categories%20in%20Unseen%20Domains/CuMix%20%28Resnet-18%29                                                                                  CuMix (Resnet-18)
http://w3id.org/mlsea/pwc/model/CurriculumNet%3A%20Weakly%20Supervised%20Learning%20from%20Large-Scale%20Web%20Images/CurriculumNet%20%28InceptionResNet-v2%29                                                                                  CurriculumNet (InceptionResNet-v2)
http://w3id.org/mlsea/pwc/model/CutMix%3A%20Regularization%20Strategy%20to%20Train%20Strong%20Classifiers%20with%20Localizable%20Features/CutMix%20%28ResNet-50%29                                                                                  CutMix (ResNet-50)
http://w3id.org/mlsea/pwc/model/On%20Feature%20Normalization%20and%20Data%20Augmentation/CutMix%2BMoEx%20%28ResNet-50%29                                                                                  CutMix+MoEx (ResNet-50)
http://w3id.org/mlsea/pwc/model/Improved%20Regularization%20of%20Convolutional%20Neural%20Networks%20with%20Cutout/Cutout%20%28ResNet-50%29                                                                                  Cutout (ResNet-50)
http://w3id.org/mlsea/pwc/model/DifFSS%3A%20Diffusion%20Model%20for%20Few-Shot%20Semantic%20Segmentation/CyCTR%20%28DifFSS%2C%20ResNet-50%29                                                                                  CyCTR (DifFSS, ResNet-50)
http://w3id.org/mlsea/pwc/model/Few-Shot%20Segmentation%20via%20Cycle-Consistent%20Transformer/CyCTR%20%28ResNet-101%29                                                                                  CyCTR (ResNet-101)
http://w3id.org/mlsea/pwc/model/Few-Shot%20Segmentation%20via%20Cycle-Consistent%20Transformer/CyCTR%20%28ResNet-50%29                                                                                  CyCTR (ResNet-50)
http://w3id.org/mlsea/pwc/model/An%20Analysis%20of%20Scale%20Invariance%20in%20Object%20Detection%20-%20SNIP/D-RFCN%20%2B%20SNIP%20%28ResNet-101%2C%20multi-scale%29                                                                                  D-RFCN + SNIP (ResNet-101, multi-scale)
http://w3id.org/mlsea/pwc/model/Domain%20Generalization%20with%20Domain-Specific%20Aggregation%20Modules/D-SAM-%CE%9B%20%28Resnet-18%29                                                                                  D-SAM-Λ (Resnet-18)
http://w3id.org/mlsea/pwc/model/Domain-aware%20Triplet%20loss%20in%20Domain%20Generalization/D-Triplet%28Resnet-50%29                                                                                  D-Triplet(Resnet-50)
http://w3id.org/mlsea/pwc/model/D2Conv3D%3A%20Dynamic%20Dilated%20Convolutions%20for%20Object%20Segmentation%20in%20Videos/D2Conv3D%20%28ResNet-50%29                                                                                  D2Conv3D (ResNet-50)
http://w3id.org/mlsea/pwc/model/D2Det%3A%20Towards%20High%20Quality%20Object%20Detection%20and%20Instance%20Segmentation/D2Det%20%28ResNet-101%2C%20single-scale%20test%29                                                                                  D2Det (ResNet-101, single-scale test)
http://w3id.org/mlsea/pwc/model/D2Det%3A%20Towards%20High%20Quality%20Object%20Detection%20and%20Instance%20Segmentation/D2Det%20%28ResNet-101-DCN%2C%20multi-scale%20test%29                                                                                  D2Det (ResNet-101-DCN, multi-scale test)
http://w3id.org/mlsea/pwc/model/Dimensionality-Driven%20Learning%20with%20Noisy%20Labels/D2L%20%28Inception-ResNet-v2%29                                                                                  D2L (Inception-ResNet-v2)
http://w3id.org/mlsea/pwc/model/D3D%3A%20Distilled%203D%20Networks%20for%20Video%20Action%20Recognition/D3D%20%28ResNet%20RPN%2C%20Kinetics-400%20pretraining%29                                                                                  D3D (ResNet RPN, Kinetics-400 pretraining)
http://w3id.org/mlsea/pwc/model/Facial%20Expression%20Recognition%20in%20the%20Wild%20via%20Deep%20Attentive%20Center%20Loss/DACL%20%28ResNet-18%29                                                                                  DACL (ResNet-18)
http://w3id.org/mlsea/pwc/model/Doubly%20Deformable%20Aggregation%20of%20Covariance%20Matrices%20for%20Few-shot%20Segmentation/DACM%20%28ResNet-101%29                                                                                  DACM (ResNet-101)
http://w3id.org/mlsea/pwc/model/Doubly%20Deformable%20Aggregation%20of%20Covariance%20Matrices%20for%20Few-shot%20Segmentation/DACM%20%28ResNet-50%29                                                                                  DACM (ResNet-50)
http://w3id.org/mlsea/pwc/model/Doubly%20Deformable%20Aggregation%20of%20Covariance%20Matrices%20for%20Few-shot%20Segmentation/DACM%20%28VAT%2C%20ResNet-101%29                                                                                  DACM (VAT, ResNet-101)
http://w3id.org/mlsea/pwc/model/Doubly%20Deformable%20Aggregation%20of%20Covariance%20Matrices%20for%20Few-shot%20Segmentation/DACM%20%28VAT%2C%20ResNet-50%29                                                                                  DACM (VAT, ResNet-50)
http://w3id.org/mlsea/pwc/model/DACS%3A%20Domain%20Adaptation%20via%20Cross-domain%20Mixed%20Sampling/DACS%28ResNet-101%29                                                                                  DACS(ResNet-101)
http://w3id.org/mlsea/pwc/model/DADA%3A%20Depth-aware%20Domain%20Adaptation%20in%20Semantic%20Segmentation/DADA%20%28ResNet-101%29                                                                                  DADA (ResNet-101)
http://w3id.org/mlsea/pwc/model/Discriminative%20Adversarial%20Domain%20Generalization%20with%20Meta-learning%20based%20Cross-domain%20Validation/DADG%20%28ResNet-18%29                                                                                  DADG (ResNet-18)
http://w3id.org/mlsea/pwc/model/Discriminative%20Adversarial%20Domain%20Generalization%20with%20Meta-learning%20based%20Cross-domain%20Validation/DADG%20%28Resnet-18%29                                                                                  DADG (Resnet-18)
http://w3id.org/mlsea/pwc/model/DAFA%3A%20Diversity-Aware%20Feature%20Aggregation%20for%20Attention-Based%20Video%20Object%20Detection/DAFA-F%20%28ResNet-101%29                                                                                  DAFA-F (ResNet-101)
http://w3id.org/mlsea/pwc/model/Dual%20Attention%20Networks%20for%20Multimodal%20Reasoning%20and%20Matching/DAN%20%28ResNet%29                                                                                  DAN (ResNet)
http://w3id.org/mlsea/pwc/model/DANNet%3A%20A%20One-Stage%20Domain%20Adaptation%20Network%20for%20Unsupervised%20Nighttime%20Semantic%20Segmentation/DANNet%20%28DeepLab%20v2%20ResNet-101%29                                                                                  DANNet (DeepLab v2 ResNet-101)
http://w3id.org/mlsea/pwc/model/Dual%20Attention%20Network%20for%20Scene%20Segmentation/DANet%20%28ResNet-101%29                                                                                  DANet (ResNet-101)
http://w3id.org/mlsea/pwc/model/Distribution-Balanced%20Loss%20for%20Multi-Label%20Classification%20in%20Long-Tailed%20Datasets/DB%20Focal%28ResNet-50%29                                                                                  DB Focal(ResNet-50)
http://w3id.org/mlsea/pwc/model/Real-time%20Scene%20Text%20Detection%20with%20Differentiable%20Binarization/DB-ResNet-50%20%281152%29                                                                                  DB-ResNet-50 (1152)
http://w3id.org/mlsea/pwc/model/Real-time%20Scene%20Text%20Detection%20with%20Differentiable%20Binarization/DB-ResNet-50%20%28736%29                                                                                  DB-ResNet-50 (736)
http://w3id.org/mlsea/pwc/model/Real-time%20Scene%20Text%20Detection%20with%20Differentiable%20Binarization/DB-ResNet-50%20%28800%29                                                                                  DB-ResNet-50 (800)
http://w3id.org/mlsea/pwc/model/Real-time%20Scene%20Text%20Detection%20with%20Differentiable%20Binarization/DB-ResNet50%20%281024%29                                                                                  DB-ResNet50 (1024)
http://w3id.org/mlsea/pwc/model/Real-Time%20Scene%20Text%20Detection%20with%20Differentiable%20Binarization%20and%20Adaptive%20Scale%20Fusion/DBNet%2B%2B%20%28ResNet-18%29%20%28512%29                                                                                  DBNet++ (ResNet-18) (512)
http://w3id.org/mlsea/pwc/model/Real-Time%20Scene%20Text%20Detection%20with%20Differentiable%20Binarization%20and%20Adaptive%20Scale%20Fusion/DBNet%2B%2B%20%28ResNet-18%29%20%28736%29                                                                                  DBNet++ (ResNet-18) (736)
http://w3id.org/mlsea/pwc/model/Real-Time%20Scene%20Text%20Detection%20with%20Differentiable%20Binarization%20and%20Adaptive%20Scale%20Fusion/DBNet%2B%2B%20%28ResNet-18%29%20%28800%29                                                                                  DBNet++ (ResNet-18) (800)
http://w3id.org/mlsea/pwc/model/Real-Time%20Scene%20Text%20Detection%20with%20Differentiable%20Binarization%20and%20Adaptive%20Scale%20Fusion/DBNet%2B%2B%20%28ResNet-50%29%20%281152%29                                                                                  DBNet++ (ResNet-50) (1152)
http://w3id.org/mlsea/pwc/model/Real-Time%20Scene%20Text%20Detection%20with%20Differentiable%20Binarization%20and%20Adaptive%20Scale%20Fusion/DBNet%2B%2B%20%28ResNet-50%29%20%28736%29                                                                                  DBNet++ (ResNet-50) (736)
http://w3id.org/mlsea/pwc/model/Real-Time%20Scene%20Text%20Detection%20with%20Differentiable%20Binarization%20and%20Adaptive%20Scale%20Fusion/DBNet%2B%2B%20%28ResNet-50%29%20%28800%29                                                                                  DBNet++ (ResNet-50) (800)
http://w3id.org/mlsea/pwc/model/Dual%20Bayesian%20ResNet%3A%20A%20Deep%20Learning%20Approach%20to%20Heart%20Murmur%20Detection/DBResNet                                                                                  DBResNet
http://w3id.org/mlsea/pwc/model/DifFSS%3A%20Diffusion%20Model%20for%20Few-Shot%20Semantic%20Segmentation/DCAMA%20%28DifFSS%2C%20ResNet-50%29                                                                                  DCAMA (DifFSS, ResNet-50)
http://w3id.org/mlsea/pwc/model/Dense%20Cross-Query-and-Support%20Attention%20Weighted%20Mask%20Aggregation%20for%20Few-Shot%20Segmentation/DCAMA%20%28ResNet-101%29                                                                                  DCAMA (ResNet-101)
