Result of /data/leuven/370/vsc37064/new_queries_named_graph/query_25.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
softwareName                                                                      requirement
A Generalized Framework for Measuring Pedestrian Accessibility around the World Using Open Data software                                                                                  none
A Generalized Framework for Microstructural Optimization using Neural Networks software                                                                                  pytorch
A Generalized Framework for Video Instance Segmentation software                                                                                  pytorch
A Generalized Framework of Sequence Generation with Application to Undirected Sequence Models software                                                                                  pytorch
A Generative Framework for Low-Cost Result Validation of Outsourced Machine Learning Tasks software                                                                                  tf
A Generative Framework for Zero-Shot Learning with Adversarial Domain Adaptation software                                                                                  pytorch
A Generic Acceleration Framework for Stochastic Composite Optimization software                                                                                  none
A Generic Framework and Library for Exploration of Small Multiples through Interactive Piling software                                                                                  none
A Generic Framework for Engineering Graph Canonization Algorithms software                                                                                  none
A Generic Framework for Hidden Markov Models on Biomedical Data software                                                                                  none
A Generic Graph Sparsification Framework using Deep Reinforcement Learning software                                                                                  pytorch
A Generic Inverted Index Framework for Similarity Search on the GPU - Technical Report software                                                                                  none
A Generic Network Compression Framework for Sequential Recommender Systems software                                                                                  tf
A Generic and Model-Agnostic Exemplar Synthetization Framework for Explainable AI software                                                                                  pytorch
A Geometric Framework for Neural Feature Learning software                                                                                  none
A Geometric Framework for Stochastic Shape Analysis software                                                                                  none
A Global-local Attention Framework for Weakly Labelled Audio Tagging software                                                                                  pytorch
A Globally Optimal Energy-Efficient Power Control Framework and its Efficient Implementation in Wireless Interference Networks software                                                                                  tf
A Gradient Flow Framework For Analyzing Network Pruning software                                                                                  pytorch
A Graph Neural Network Framework for Causal Inference in Brain Networks software                                                                                  tf
A Graph Theoretic Framework of Recomputation Algorithms for Memory-Efficient Backpropagation software                                                                                  none
A Graph Theoretic Framework of Recomputation Algorithms for Memory-Efficient Backpropagation software                                                                                  paddle
A Graph-Based Modeling Framework for Tracing Hydrological Pollutant Transport in Surface Waters software                                                                                  none
A Graph-Theoretic Framework for Understanding Open-World Semi-Supervised Learning software                                                                                  pytorch
A Graph-based Optimization Framework for Hand-Eye Calibration for Multi-Camera Setups software                                                                                  none
A Graphical Framework to Study the Correlation between Geometric Design and Simulation software                                                                                  none
A Group-Theoretic Framework for Data Augmentation software                                                                                  pytorch
A Gumbel-based Rating Prediction Framework for Imbalanced Recommendation software                                                                                  pytorch
A Haskell Library for Term Rewriting software                                                                                  none
A Heuristic-driven Ensemble Framework for COVID-19 Fake News Detection software                                                                                  none
A Heuristic-driven Uncertainty based Ensemble Framework for Fake News Detection in Tweets and News Articles software                                                                                  none
A Hierarchical Bayesian Framework for Inferring the Stellar Obliquity Distribution software                                                                                  none
A Hierarchical Framework for Relation Extraction with Reinforcement Learning software                                                                                  pytorch
A Hierarchical N-Gram Framework for Zero-Shot Link Prediction software                                                                                  pytorch
A Hierarchical Performance Equation Library for Basic Op-Amp Design software                                                                                  none
A Hierarchical Regression Chain Framework for Affective Vocal Burst Recognition software                                                                                  pytorch
A Higher Order Perturbative Parton Evolution Toolkit (HOPPET) software                                                                                  none
A Holistic Framework for Analyzing the COVID-19 Vaccine Debate software                                                                                  pytorch
A Human-machine Collaborative Framework for Evaluating Malevolence in Dialogues software                                                                                  pytorch
A Hybrid Neuromorphic Object Tracking and Classification Framework for Real-time Systems software                                                                                  none
A Hybrid Self-Supervised Learning Framework for Vertical Federated Learning software                                                                                  pytorch
A Hybrid Video Anomaly Detection Framework via Memory-Augmented Flow Reconstruction and Flow-Guided Frame Prediction software                                                                                  pytorch
A Hypothesis-Driven Framework for the Analysis of Self-Rationalising Models software                                                                                  none
A Joint Imitation-Reinforcement Learning Framework for Reduced Baseline Regret software                                                                                  none
A Joint Learning and Communications Framework for Federated Learning over Wireless Networks software                                                                                  none
A Joint Pixel and Feature Alignment Framework for Cross-dataset Palmprint Recognition software                                                                                  tf
A Julia Framework for Graph-Structured Nonlinear Optimization software                                                                                  none
A Just-In-Time Networking Framework for Minimizing Request-Response Latency of Wireless Time-Sensitive Applications software                                                                                  none
A Justice-Based Framework for the Analysis of Algorithmic Fairness-Utility Trade-Offs software                                                                                  none
A Knowledge Distillation Ensemble Framework for Predicting Short and Long-term Hospitalisation Outcomes from Electronic Health Records Data software                                                                                  none
A Knowledge Distillation Framework For Enhancing Ear-EEG Based Sleep Staging With Scalp-EEG Data software                                                                                  pytorch
A Knowledge-based Learning Framework for Self-supervised Pre-training Towards Enhanced Recognition of Biomedical Microscopy Images software                                                                                  pytorch
A Knowledge-enhanced Two-stage Generative Framework for Medical Dialogue Information Extraction software                                                                                  pytorch
A Label-Aware Autoregressive Framework for Cross-Domain NER software                                                                                  pytorch
A Language Model based Framework for New Concept Placement in Ontologies software                                                                                  pytorch
A Laplacian Framework for Option Discovery in Reinforcement Learning software                                                                                  none
A Large-Scale Epidemic Simulation Framework for Realistic Social Contact Networks software                                                                                  none
A Layer-Based Sequential Framework for Scene Generation with GANs software                                                                                  pytorch
A Learning Framework for n-bit Quantized Neural Networks toward FPGAs software                                                                                  tf
A Learning-Based Framework for Line-Spectra Super-resolution software                                                                                  pytorch
A Library Perspective on Nearly-Unsupervised Information Extraction Workflows in Digital Libraries software                                                                                  none
A Library for Representing Python Programs as Graphs for Machine Learning software                                                                                  none
A Library for Wall-Modelled Large-Eddy Simulation Based on OpenFOAM Technology software                                                                                  none
A Lightweight Concept Drift Detection and Adaptation Framework for IoT Data Streams software                                                                                  none
A Likelihood-Free Inference Framework for Population Genetic Data using Exchangeable Neural Networks software                                                                                  tf
A Linear Algebraic Framework for Dynamic Scheduling Over Memory-Equipped Quantum Networks software                                                                                  none
A Linear Algebraic Framework for Quantum Internet Dynamic Scheduling software                                                                                  none
A Linkage-based Doubly Imbalanced Graph Learning Framework for Face Clustering software                                                                                  pytorch
A Local Optimization Framework for Multi-Objective Ergodic Search software                                                                                  jax
A Localization-to-Segmentation Framework for Automatic Tumor Segmentation in Whole-Body PET/CT Images software                                                                                  pytorch
A Locally Conservative Mixed Finite Element Framework for Coupled Hydro-Mechanical-Chemical Processes in Heterogeneous Porous Media software                                                                                  none
A Logic-Based Framework for Natural Language Inference in Dutch software                                                                                  none
A Logic-Driven Framework for Consistency of Neural Models software                                                                                  pytorch
A Machine Learning Framework for Automatic Prediction of Human Semen Motility software                                                                                  tf
A Machine Learning Framework for Biometric Authentication using Electrocardiogram software                                                                                  none
A Machine Learning Framework for Solving High-Dimensional Mean Field Game and Mean Field Control Problems software                                                                                  none
A Machine Learning Framework to Forecast Wave Conditions software                                                                                  none
A Markov Decision Process Framework for Efficient and Implementable Contact Tracing and Isolation software                                                                                  none
A Match Made in Heaven: A Multi-task Framework for Hyperbole and Metaphor Detection software                                                                                  pytorch
A Matrix Autoencoder Framework to Align the Functional and Structural Connectivity Manifolds as Guided by Behavioral Phenotypes software                                                                                  pytorch
A Max-Min Entropy Framework for Reinforcement Learning software                                                                                  tf
A Meta-Learning Framework for Generalized Zero-Shot Learning software                                                                                  none
A Mixed Classification-Regression Framework for 3D Pose Estimation from 2D Images software                                                                                  pytorch
A Mixed supervised Learning Framework for Target Sound Detection software                                                                                  pytorch
A Model-Agnostic Causal Learning Framework for Recommendation using Search Data software                                                                                  pytorch
A Model-Free and Finite-Population-Exact Framework for Randomized Experiments Subject to Outcome Misclassification via Integer Programming software                                                                                  none
A Modular Framework for Reinforcement Learning Optimal Execution software                                                                                  none
A Monte Carlo study of early gas expulsion and evolution of star clusters: new simulations with the MOCCA code in the AMUSE framework software                                                                                  none
A Multi-Agent Adaptive Deep Learning Framework for Online Intrusion Detection software                                                                                  tf
A Multi-Agent Reinforcement Learning Framework for Off-Policy Evaluation in Two-sided Markets software                                                                                  tf
A Multi-Aspect Framework for Counter Narrative Evaluation using Large Language Models software                                                                                  pytorch
A Multi-Channel Next POI Recommendation Framework with Multi-Granularity Check-in Signals software                                                                                  pytorch
A Multi-Level Framework for Accelerating Training Transformer Models software                                                                                  pytorch
A Multi-Robot Task Assignment Framework for Search and Rescue with Heterogeneous Teams software                                                                                  none
A Multi-Scale Recurrent Framework for Motion Segmentation With Event Camera software                                                                                  pytorch
A Multi-Stage Automated Online Network Data Stream Analytics Framework for IIoT Systems software                                                                                  none
A Multi-State Social Force Based Framework for Vehicle-Pedestrian Interaction in Uncontrolled Pedestrian Crossing Scenarios software                                                                                  none
A Multi-Task Deep Learning Framework for Building Footprint Segmentation software                                                                                  pytorch
A Multi-Task Incremental Learning Framework with Category Name Embedding for Aspect-Category Sentiment Analysis software                                                                                  none
A Multi-Task Learning Framework for Multi-Target Stance Detection software                                                                                  pytorch
A Multi-Task Semantic Decomposition Framework with Task-specific Pre-training for Few-Shot NER software                                                                                  pytorch
A Multi-Transformation Evolutionary Framework for Influence Maximization in Social Networks software                                                                                  none
A Multi-body Tracking Framework -- From Rigid Objects to Kinematic Structures software                                                                                  none
A Multi-modal Garden Dataset and Hybrid 3D Dense Reconstruction Framework Based on Panoramic Stereo Images for a Trimming Robot software                                                                                  none
A Multi-purposed Unsupervised Framework for Comparing Embeddings of Undirected and Directed Graphs software                                                                                  none
A Multi-scale Information Integration Framework for Infrared and Visible Image Fusion software                                                                                  pytorch
A Multi-task Framework for Infrared Small Target Detection and Segmentation software                                                                                  pytorch
A Multi-task Learning Framework for Opinion Triplet Extraction software                                                                                  pytorch
A Multi-term and Multi-task Analyzing Framework for Affective Analysis in-the-wild software                                                                                  tf
A Multi-turn Machine Reading Comprehension Framework with Rethink Mechanism for Emotion-Cause Pair Extraction software                                                                                  pytorch
A Multi-view Multi-task Learning Framework for Multi-variate Time Series Forecasting software                                                                                  pytorch
A Multiagent Framework for the Asynchronous and Collaborative Extension of Multitask ML Systems software                                                                                  tf
A Multilabel Classification Framework for Approximate Nearest Neighbor Search software                                                                                  none
A Multilayer Framework for Online Metric Learning software                                                                                  pytorch
A Multilevel Reinforcement Learning Framework for PDE-based Control software                                                                                  pytorch
A Multilevel Reinforcement Learning Framework for PDE-based Control software                                                                                  none
A Multilevel Scheduling Framework for Distributed Time-domain Large-area Sky Survey Telescope Array software                                                                                  none
A Multimodal Framework for the Detection of Hateful Memes software                                                                                  pytorch
A Multimodal Graph Neural Network Framework of Cancer Molecular Subtype Classification software                                                                                  pytorch
A Multimodal Machine Learning Framework for Teacher Vocal Delivery Evaluation software                                                                                  pytorch
A Multiresolution 3D Morphable Face Model and Fitting Framework software                                                                                  none
A Mutation Framework for Evaluating Security Analysis tools in IoT Applications software                                                                                  none
A Mutual learning framework for Few-shot Sound Event Detection software                                                                                  pytorch
A Nanomechanical Testing Framework Yielding Front&Rear-Sided, High-Resolution, Microstructure-Correlated SEM-DIC Strain Fields software                                                                                  none
A Neural Divide-and-Conquer Reasoning Framework for Image Retrieval from Linguistically Complex Text software                                                                                  pytorch
A Neural Framework for Generalized Causal Sensitivity Analysis software                                                                                  pytorch
A Neural Multi-Task Learning Framework to Jointly Model Medical Named Entity Recognition and Normalization software                                                                                  pytorch
A Neural Network based Framework for Effective Laparoscopic Video Quality Assessment software                                                                                  none
A Neural Network-Evolutionary Computational Framework for Remaining Useful Life Estimation of Mechanical Systems software                                                                                  none
A Neural Rendering Framework for Free-Viewpoint Relighting software                                                                                  pytorch
A Neural Topical Expansion Framework for Unstructured Persona-oriented Dialogue Generation software                                                                                  tf
A Neural-Network Framework for the Design of Individualised Hearing-Loss Compensation software                                                                                  tf
A New Ensemble Learning Framework for 3D Biomedical Image Segmentation software                                                                                  none
A New Framework for Fast Automated Phonological Reconstruction Using Trimmed Alignments and Sound Correspondence Patterns software                                                                                  none
A New Framework for Registration of Semantic Point Clouds from Stereo and RGB-D Cameras software                                                                                  none
A New Framework to Estimate Return on Investment for Player Salaries in the National Basketball Association software                                                                                  none
A New Market-Based Framework for Increasing Responsive Loads In Distribution Systems software                                                                                  none
A Nil-Aware Answer Extraction Framework for Question Answering software                                                                                  pytorch
A Novel Cascade Binary Tagging Framework for Relational Triple Extraction software                                                                                  pytorch
A Novel Cascade Binary Tagging Framework for Relational Triple Extraction software                                                                                  tf
A Novel Deterministic Framework for Non-probabilistic Recommender Systems software                                                                                  none
A Novel Framework for Policy Mirror Descent with General Parameterization and Linear Convergence software                                                                                  jax
A Novel Framework for Spatio-Temporal Prediction of Environmental Data Using Deep Learning software                                                                                  none
A Novel Framework to Expedite Systematic Reviews by Automatically Building Information Extraction Training Corpora software                                                                                  none
A Novel Framework with Information Fusion and Neighborhood Enhancement for User Identity Linkage software                                                                                  pytorch
A Novel Generalised Meta-Heuristic Framework for Dynamic Capacitated Arc Routing Problems software                                                                                  none
A Novel Hyperdimensional Computing Framework for Online Time Series Forecasting on the Edge software                                                                                  pytorch
A Novel Incremental Learning Driven Instance Segmentation Framework to Recognize Highly Cluttered Instances of the Contraband Items software                                                                                  tf
A Novel Multi-layer Framework for Tiny Obstacle Discovery software                                                                                  none
A Novel Multiple Classifier Generation and Combination Framework Based on Fuzzy Clustering and Individualized Ensemble Construction software                                                                                  none
A Novel Optimized Asynchronous Federated Learning Framework software                                                                                  pytorch
A Novel Voronoi-based Convolutional Neural Network Framework for Pushing Person Detection in Crowd Videos software                                                                                  none
A Numerical Framework for Efficient Motion Estimation on Evolving Sphere-Like Surfaces based on Brightness and Mass Conservation Laws software                                                                                  none
A Numerical Framework for Sobolev Metrics on the Space of Curves software                                                                                  none
A Numerical Framework for the Parameter Identification of the SIRD Model software                                                                                  none
A PAC-Bayesian Framework for Optimal Control with Stability Guarantees software                                                                                  pytorch
A PCA-Based Change Detection Framework for Multidimensional Data Streams: Change Detection in Multidimensional Data Streams software                                                                                  none
A Parallel Data Compression Framework for Large Scale 3D Scientific Data software                                                                                  none
A Partially Supervised Reinforcement Learning Framework for Visual Active Search software                                                                                  pytorch
A Partially-Supervised Reinforcement Learning Framework for Visual Active Search software                                                                                  pytorch
A Pattern Matching-Based Framework for Quantum Circuit Rewriting software                                                                                  none
A Perceptual Prediction Framework for Self Supervised Event Segmentation software                                                                                  tf
A Personalized Dense Retrieval Framework for Unified Information Access software                                                                                  pytorch
A Perturbation-Based Kernel Approximation Framework software                                                                                  none
A Photogrammetry-based Framework to Facilitate Image-based Modeling and Automatic Camera Tracking software                                                                                  none
A Physics-embedded Deep Learning Framework for Cloth Simulation software                                                                                  pytorch
A Physics-informed data reconciliation framework for real-time electricity and emissions tracking software                                                                                  none
A Platform-Agnostic Deep Reinforcement Learning Framework for Effective Sim2Real Transfer in Autonomous Driving software                                                                                  none
A Plug-and-Play Priors Framework for Hyperspectral Unmixing software                                                                                  none
A Policy Driven AI-Assisted PoW Framework software                                                                                  none
A Positive-Unlabeled Metric Learning Framework for Document-Level Relation Extraction with Incomplete Labeling software                                                                                  pytorch
A Post-Training Framework for Improving Heterogeneous Graph Neural Networks software                                                                                  pytorch
A Practical Contrastive Learning Framework for Single-Image Super-Resolution software                                                                                  pytorch
A Practical Framework for Unsupervised Structure Preservation Medical Image Enhancement software                                                                                  pytorch
A Practical Incremental Learning Framework For Sparse Entity Extraction software                                                                                  none
A Practical Toolkit for Multilingual Question and Answer Generation software                                                                                  none
A Practical Two-stage Ranking Framework for Cross-market Recommendation software                                                                                  pytorch
A Pragmatics-Centered Evaluation Framework for Natural Language Understanding software                                                                                  none
A Preference-aware Meta-optimization Framework for Personalized Vehicle Energy Consumption Estimation software                                                                                  pytorch
A Principled Framework for Evaluating Summarizers: Comparing Models of Summary Quality against Human Judgments software                                                                                  none
A Prior Instruction Representation Framework for Remote Sensing Image-text Retrieval software                                                                                  pytorch
A Privacy-Preserving Healthcare Framework Using Hyperledger Fabric software                                                                                  none
A Privacy-Preserving Hybrid Federated Learning Framework for Financial Crime Detection software                                                                                  pytorch
A Probabilistic Framework for Knowledge Graph Data Augmentation software                                                                                  pytorch
A Probabilistic Framework for Lifelong Test-Time Adaptation software                                                                                  pytorch
A Probabilistic Framework for Mutation Testing in Deep Neural Networks software                                                                                  tf
A Probabilistic Framework for Visual Localization in Ambiguous Scenes software                                                                                  pytorch
A Probabilistic Fusion Framework for Spoofing Aware Speaker Verification software                                                                                  pytorch
A Probabilistic framework for Quantum Clustering software                                                                                  none
A Procedural World Generation Framework for Systematic Evaluation of Continual Learning software                                                                                  pytorch
A Procedural World Generation Framework for Systematic Evaluation of Continual Learning software                                                                                  none
A Progressive Framework for Role-Aware Rumor Resolution software                                                                                  pytorch
A Prompt Learning Framework for Source Code Summarization software                                                                                  pytorch
A Property Induction Framework for Neural Language Models software                                                                                  pytorch
A Prototype-Oriented Framework for Unsupervised Domain Adaptation software                                                                                  pytorch
A Python Framework for Fast Modelling and Simulation of Cellular Nonlinear Networks and other Finite-difference Time-domain Systems software                                                                                  none
A Python Framework for Neutrosophic Sets and Mappings software                                                                                  none
A Python Framework for SPICE Circuit Simulation of In-Memory Analog Computing Circuits software                                                                                  none
A Python Library For Empirical Calibration software                                                                                  none
A Python Library for Exploratory Data Analysis on Twitter Data based on Tokens and Aggregated Origin-Destination Information software                                                                                  none
A Python library for efficient computation of molecular fingerprints software                                                                                  none
A Q-values Sharing Framework for Multiagent Reinforcement Learning under Budget Constraint software                                                                                  none
A Rate-Distortion Framework for Explaining Neural Network Decisions software                                                                                  tf
A Rationale-Centric Framework for Human-in-the-loop Machine Learning software                                                                                  pytorch
A Read-and-Select Framework for Zero-shot Entity Linking software                                                                                  pytorch
A Real-Time Online Learning Framework for Joint 3D Reconstruction and Semantic Segmentation of Indoor Scenes software                                                                                  pytorch
A Refining Underlying Information Framework for Monaural Speech Enhancement software                                                                                  pytorch
A Refining Underlying Information Framework for Monaural Speech Enhancement software                                                                                  tf
A Registration- and Uncertainty-based Framework for White Matter Tract Segmentation With Only One Annotated Subject software                                                                                  pytorch
A Regularized Framework for Sparse and Structured Neural Attention software                                                                                  pytorch
A Regularized Wasserstein Framework for Graph Kernels software                                                                                  pytorch
A Reinforcement Learning Based Encoder-Decoder Framework for Learning Stock Trading Rules software                                                                                  pytorch
A Reinforcement Learning Framework for Dynamic Mediation Analysis software                                                                                  none
A Reinforcement Learning-Boosted Motion Planning Framework: Comprehensive Generalization Performance in Autonomous Driving software                                                                                  none
A Reliability-aware Distributed Framework to Schedule Residential Charging of Electric Vehicles software                                                                                  none
A Representation Learning Framework for Property Graphs software                                                                                  tf
A Restricted Black-box Adversarial Framework Towards Attacking Graph Embedding Models software                                                                                  tf
A Retrieve-and-Edit Framework for Predicting Structured Outputs software                                                                                  none
A Retrieve-and-Read Framework for Knowledge Graph Link Prediction software                                                                                  pytorch
A Review & Framework for Modeling Complex Engineered System Development Processes software                                                                                  none
A Review-aware Graph Contrastive Learning Framework for Recommendation software                                                                                  pytorch
A Revisit of Sparse Coding Based Anomaly Detection in Stacked RNN Framework software                                                                                  tf
A Riemannian Framework for Statistical Analysis of Topological Persistence Diagrams software                                                                                  none
A Rigorous Framework for Automated Design Assessment and Type I Error Control: Methods and Demonstrative Examples (Working Paper) software                                                                                  jax
A Robust Backpropagation-Free Framework for Images software                                                                                  tf
A Robust Classification Framework for Byzantine-Resilient Stochastic Gradient Descent software                                                                                  pytorch
A Robust Multilinear Model Learning Framework for 3D Faces software                                                                                  none
A Robust and Generalized Framework for Adversarial Graph Embedding software                                                                                  tf
A Robust and Interpretable Deep Learning Framework for Multi-modal Registration via Keypoints software                                                                                  pytorch
A Rotation-Invariant Framework for Deep Point Cloud Analysis software                                                                                  tf
A SDN/OpenFlow Framework for Dynamic Resource Allocation based on Bandwidth Allocation Model software                                                                                  none
A SWAT-based Reinforcement Learning Framework for Crop Management software                                                                                  pytorch
A Safe Computational Framework for Integer Programming applied to Chv 'atal's Conjecture software                                                                                  none
A Safety Framework for Flow Decomposition Problems via Integer Linear Programming software                                                                                  none
A Saliency-Guided Street View Image Inpainting Framework for Efficient Last-Meters Wayfinding software                                                                                  none
A Sampling-based Framework for Hypothesis Testing on Large Attributed Graphs software                                                                                  none
A Scalable Framework for Automatic Playlist Continuation on Music Streaming Services software                                                                                  pytorch
A Search-Based Framework for Automatic Generation of Testing Environments for Cyber-Physical Systems software                                                                                  none
A Security Monitoring Framework For Virtualization Based HEP Infrastructures software                                                                                  none
A Self-Training Framework Based on Multi-Scale Attention Fusion for Weakly Supervised Semantic Segmentation software                                                                                  pytorch
A Self-ensembling Framework for Semi-supervised Knee Cartilage Defects Assessment with Dual-Consistency software                                                                                  pytorch
A Semantic Framework for PEGs software                                                                                  none
A Semantic Framework for the Security Analysis of Ethereum smart contracts software                                                                                  none
A Semi-Automated Usability Evaluation Framework for Interactive Image Segmentation Systems software                                                                                  none
A Semi-Synthetic Dataset Generation Framework for Causal Inference in Recommender Systems software                                                                                  none
A Semi-supervised Framework for Image Captioning software                                                                                  none
A Sentence is Worth 128 Pseudo Tokens: A Semantic-Aware Contrastive Learning Framework for Sentence Embeddings software                                                                                  pytorch
A Sequential Flow Control Framework for Multi-hop Knowledge Base Question Answering software                                                                                  pytorch
A Sequential Flow Control Framework for Multi-hop Knowledge Base Question Answering software                                                                                  mindspore
A Sequential Framework for Detection and Classification of Abnormal Teeth in Panoramic X-rays software                                                                                  pytorch
A Shared Multi-Attention Framework for Multi-Label Zero-Shot Learning software                                                                                  tf
A Simple Exponential Family Framework for Zero-Shot Learning software                                                                                  none
A Simple Framework Uniting Visual In-context Learning with Masked Image Modeling to Improve Ultrasound Segmentation software                                                                                  pytorch
A Simple Framework for 3D Lensless Imaging with Programmable Masks software                                                                                  none
A Simple Framework for 3D Occupancy Estimation in Autonomous Driving software                                                                                  pytorch
A Simple Framework for Contrastive Learning of Visual Representations software                                                                                  pytorch
A Simple Framework for Contrastive Learning of Visual Representations software                                                                                  tf
A Simple Framework for Contrastive Learning of Visual Representations software                                                                                  none
A Simple Framework for Contrastive Learning of Visual Representations software                                                                                  mindspore
A Simple Framework for Multi-mode Spatial-Temporal Data Modeling software                                                                                  pytorch
A Simple Framework for Open-Vocabulary Segmentation and Detection software                                                                                  pytorch
A Simple Framework for Text-Supervised Semantic Segmentation software                                                                                  pytorch
A Simple LLM Framework for Long-Range Video Question-Answering software                                                                                  pytorch
A Simple Semi-Supervised Learning Framework for Object Detection software                                                                                  pytorch
A Simple Semi-Supervised Learning Framework for Object Detection software                                                                                  tf
A Simple Unified Framework for Detecting Out-of-Distribution Samples and Adversarial Attacks software                                                                                  pytorch
A Simple and Effective Framework for Pairwise Deep Metric Learning software                                                                                  pytorch
A Simple and Effective Self-Supervised Contrastive Learning Framework for Aspect Detection software                                                                                  pytorch
A Simple and Powerful Framework for Stable Dynamic Network Embedding software                                                                                  none
A Simple and Robust Framework for Cross-Modality Medical Image Segmentation applied to Vision Transformers software                                                                                  pytorch
A Simple and Robust Framework for Cross-Modality Medical Image Segmentation applied to Vision Transformers software                                                                                  none
A Simple but Effective Bidirectional Framework for Relational Triple Extraction software                                                                                  tf
A Simple yet Effective Framework for Few-Shot Aspect-Based Sentiment Analysis software                                                                                  pytorch
A Simple yet Effective Self-Debiasing Framework for Transformer Models software                                                                                  pytorch
A Simplified Framework for Air Route Clustering Based on ADS-B Data software                                                                                  none
A Simulation-based End-to-End Learning Framework for Evidential Occupancy Grid Mapping software                                                                                  tf
A Sketching Framework for Reduced Data Transfer in Photon Counting Lidar software                                                                                  none
A Skew-Sensitive Evaluation Framework for Imbalanced Data Classification software                                                                                  tf
A Software Toolkit for Pre-processing Sign Language Video Streams software                                                                                  none
A Solver-Free Framework for Scalable Learning in Neural ILP Architectures software                                                                                  jax
A Sparse Sampling-based framework for Semantic Fast-Forward of First-Person Videos software                                                                                  none
A Spatial-Temporal Deformable Attention based Framework for Breast Lesion Detection in Videos software                                                                                  pytorch
A Spatial-Temporal Graph Neural Network Framework for Automated Software Bug Triaging software                                                                                  pytorch
A Spatio-Temporal Spot-Forecasting Framework for Urban Traffic Prediction software                                                                                  pytorch
A Spatiotemporal Multi-Channel Learning Framework for Automatic Modulation Recognition software                                                                                  tf
A Spectral Library and Method for Sparse Unmixing of Hyperspectral Images in Fluorescence Guided Resection of Brain Tumors software                                                                                  none
A Spectral-Spatial-Dependent Global Learning Framework for Insufficient and Imbalanced Hyperspectral Image Classification software                                                                                  pytorch
A Speech Representation Anonymization Framework via Selective Noise Perturbation software                                                                                  pytorch
A Stabilized Feedback Episodic Memory (SF-EM) and Home Service Provision Framework for Robot and IoT Collaboration software                                                                                  none
A Stack-Propagation Framework with Token-Level Intent Detection for Spoken Language Understanding software                                                                                  pytorch
A Stack-Propagation Framework with Token-Level Intent Detection for Spoken Language Understanding software                                                                                  tf
A Standardized Framework for Collecting Graduate Student Input in Faculty Searches software                                                                                  none
A State-Space Modeling Framework for Engineering Blockchain-Enabled Economic Systems software                                                                                  none
A State-Vector Framework for Dataset Effects software                                                                                  pytorch
A Statistical Framework for Domain Shape Estimation in Stokes Flows software                                                                                  none
A Statistical Framework for Low-bitwidth Training of Deep Neural Networks software                                                                                  pytorch
A Stochastic Game Framework for Efficient Energy Management in Microgrid Networks software                                                                                  tf
A Stochastic Optimization Framework for Fair Risk Minimization software                                                                                  pytorch
A Straightforward Framework For Video Retrieval Using CLIP software                                                                                  pytorch
A Strategic Framework for Optimal Decisions in Football 1-vs-1 Shot-Taking Situations: An Integrated Approach of Machine Learning, Theory-Based Modeling, and Game Theory software                                                                                  pytorch
A Strategic Routing Framework and Algorithms for Computing Alternative Paths software                                                                                  none
A Surrogate Objective Framework for Prediction+Optimization with Soft Constraints software                                                                                  pytorch
A Symmetric Dual Encoding Dense Retrieval Framework for Knowledge-Intensive Visual Question Answering software                                                                                  pytorch
A Syntax-aware Multi-task Learning Framework for Chinese Semantic Role Labeling software                                                                                  pytorch
A Systematic DNN Weight Pruning Framework using Alternating Direction Method of Multipliers software                                                                                  tf
A Systematic DNN Weight Pruning Framework using Alternating Direction Method of Multipliers software                                                                                  none
A Teacher-Free Graph Knowledge Distillation Framework with Dual Self-Distillation software                                                                                  pytorch
A Teacher-Student Framework for Semi-supervised Medical Image Segmentation From Mixed Supervision software                                                                                  pytorch
A Temporally Sensitive Submodularity Framework for Timeline Summarization software                                                                                  none
A Text Classification Framework for Simple and Effective Early Depression Detection Over Social Media Streams software                                                                                  none
A Text-based Deep Reinforcement Learning Framework for Interactive Recommendation software                                                                                  tf
A Text-guided Protein Design Framework software                                                                                  pytorch
A Theoretical Framework for Inference Learning software                                                                                  pytorch
A Theoretical Framework for Inference and Learning in Predictive Coding Networks software                                                                                  pytorch
A Theoretical Framework for Target Propagation software                                                                                  pytorch
A Theoretical Framework for Target Propagation software                                                                                  none
A Theoretical and Practical Framework for Evaluating Uncertainty Calibration in Object Detection software                                                                                  pytorch
A Three-Stage Anomaly Detection Framework for Traffic Videos software                                                                                  pytorch
A Three-Stage Learning Framework for Low-Resource Knowledge-Grounded Dialogue Generation software                                                                                  pytorch
A Three-Stage Self-Training Framework for Semi-Supervised Semantic Segmentation software                                                                                  pytorch
A Token-level Contrastive Framework for Sign Language Translation software                                                                                  pytorch
A Toolkit for Analyzing and Visualizing Online Users via Reshare Cascade Modeling software                                                                                  none
A Toolkit for Efficient Learning of Lexical Units for Speech Recognition software                                                                                  none
A Toolkit for Generating Code Knowledge Graphs software                                                                                  pytorch
A Toolkit for Reliable Benchmarking and Research in Multi-Objective Reinforcement Learning software                                                                                  pytorch
A Toolkit for Reliable Benchmarking and Research in Multi-Objective Reinforcement Learning software                                                                                  none
A Topological Deep Learning Framework for Neural Spike Decoding software                                                                                  pytorch
A Topological Framework for Local Structure Analysis in Condensed Matter software                                                                                  none
A Transformer Framework for Data Fusion and Multi-Task Learning in Smart Cities software                                                                                  tf
