Result of /data/leuven/370/vsc37064/new_queries_named_graph/query_37.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
workTitle                                                                         authorName                                                                        implementationName
DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision                                                                                  Hao Kang                                                                                  implemenation of DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision
DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision                                                                                  Zhi Tu                                                                                  implemenation of DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision
DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision                                                                                  Xiangrui Kong                                                                                  implemenation of DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision
DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision                                                                                  Xingpeng Sun                                                                                  implemenation of DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision
DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision                                                                                  Tianyi Zhang                                                                                  implemenation of DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision
DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision                                                                                  Gang Hua                                                                                  implemenation of DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision
DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision                                                                                  Lantao Yu                                                                                  implemenation of DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision
DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision                                                                                  Kun Wan                                                                                  implemenation of DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision
DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision                                                                                  Wentian Zhao                                                                                  implemenation of DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision
DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision                                                                                  Yichen Sheng                                                                                  implemenation of DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision
DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision                                                                                  Yawen Lu                                                                                  implemenation of DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision
DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision                                                                                  Bedrich Benes                                                                                  implemenation of DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision
DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision                                                                                  Qianyu Guo                                                                                  implemenation of DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision
Data assimilation and parameter identification for water waves using the nonlinear Schrödinger equation and physics-informed neural networks                                                                                  Niklas A. Wagner                                                                                  implemenation of Data assimilation and parameter identification for water waves using the nonlinear Schrödinger equation and physics-informed neural networks
Data assimilation and parameter identification for water waves using the nonlinear Schrödinger equation and physics-informed neural networks                                                                                  Merten Stender                                                                                  implemenation of Data assimilation and parameter identification for water waves using the nonlinear Schrödinger equation and physics-informed neural networks
Data assimilation and parameter identification for water waves using the nonlinear Schrödinger equation and physics-informed neural networks                                                                                  Annamaria Scherzl                                                                                  implemenation of Data assimilation and parameter identification for water waves using the nonlinear Schrödinger equation and physics-informed neural networks
Data assimilation and parameter identification for water waves using the nonlinear Schrödinger equation and physics-informed neural networks                                                                                  Marco Klein                                                                                  implemenation of Data assimilation and parameter identification for water waves using the nonlinear Schrödinger equation and physics-informed neural networks
Data assimilation and parameter identification for water waves using the nonlinear Schrödinger equation and physics-informed neural networks                                                                                  Norbert Hoffmann                                                                                  implemenation of Data assimilation and parameter identification for water waves using the nonlinear Schrödinger equation and physics-informed neural networks
Data assimilation and parameter identification for water waves using the nonlinear Schrödinger equation and physics-informed neural networks                                                                                  Svenja Ehlers                                                                                  implemenation of Data assimilation and parameter identification for water waves using the nonlinear Schrödinger equation and physics-informed neural networks
Deep Latent Force Models: ODE-based Process Convolutions for Bayesian Deep Learning                                                                                  Thomas Baldwin-McDonald                                                                                  implemenation of Deep Latent Force Models: ODE-based Process Convolutions for Bayesian Deep Learning
Deep Latent Force Models: ODE-based Process Convolutions for Bayesian Deep Learning                                                                                  Mauricio A. Álvarez                                                                                  implemenation of Deep Latent Force Models: ODE-based Process Convolutions for Bayesian Deep Learning
Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit                                                                                  Zhangqian Bi                                                                                  implemenation of Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit
Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit                                                                                  Guandong Xu                                                                                  implemenation of Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit
Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit                                                                                  Hai Jin                                                                                  implemenation of Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit
Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit                                                                                  JianGuo Zhang                                                                                  implemenation of Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit
Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit                                                                                  Yang He                                                                                  implemenation of Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit
Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit                                                                                  Hongyu Zhang                                                                                  implemenation of Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit
Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit                                                                                  Yulei Sui                                                                                  implemenation of Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit
Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit                                                                                  Philip S. Yu                                                                                  implemenation of Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit
Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit                                                                                  Yao Wan                                                                                  implemenation of Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit
Deep Learning-Driven Enhancement of Welding Quality Control: Predicting Welding Depth and Pore Volume in Hairpin Welding                                                                                  Amena Darwish                                                                                  implemenation of Deep Learning-Driven Enhancement of Welding Quality Control: Predicting Welding Depth and Pore Volume in Hairpin Welding
Deep Learning-Driven Enhancement of Welding Quality Control: Predicting Welding Depth and Pore Volume in Hairpin Welding                                                                                  Andreas Andersson Lassila                                                                                  implemenation of Deep Learning-Driven Enhancement of Welding Quality Control: Predicting Welding Depth and Pore Volume in Hairpin Welding
Deep Learning-Driven Enhancement of Welding Quality Control: Predicting Welding Depth and Pore Volume in Hairpin Welding                                                                                  Dan Lönn                                                                                  implemenation of Deep Learning-Driven Enhancement of Welding Quality Control: Predicting Welding Depth and Pore Volume in Hairpin Welding
Deep Learning-Driven Enhancement of Welding Quality Control: Predicting Welding Depth and Pore Volume in Hairpin Welding                                                                                  Kent Salomonsson                                                                                  implemenation of Deep Learning-Driven Enhancement of Welding Quality Control: Predicting Welding Depth and Pore Volume in Hairpin Welding
Deep Learning-Driven Enhancement of Welding Quality Control: Predicting Welding Depth and Pore Volume in Hairpin Welding                                                                                  Rohollah Ghasemi                                                                                  implemenation of Deep Learning-Driven Enhancement of Welding Quality Control: Predicting Welding Depth and Pore Volume in Hairpin Welding
Deep Learning-Driven Enhancement of Welding Quality Control: Predicting Welding Depth and Pore Volume in Hairpin Welding                                                                                  Stefan Ericson                                                                                  implemenation of Deep Learning-Driven Enhancement of Welding Quality Control: Predicting Welding Depth and Pore Volume in Hairpin Welding
Deep Learning-Driven Enhancement of Welding Quality Control: Predicting Welding Depth and Pore Volume in Hairpin Welding                                                                                  Tobias Andersson                                                                                  implemenation of Deep Learning-Driven Enhancement of Welding Quality Control: Predicting Welding Depth and Pore Volume in Hairpin Welding
Demand response for residential building heating: Effective Monte Carlo Tree Search control based on physics-informed neural networks                                                                                  Fabio Pavirani                                                                                  implemenation of Demand response for residential building heating: Effective Monte Carlo Tree Search control based on physics-informed neural networks
Demand response for residential building heating: Effective Monte Carlo Tree Search control based on physics-informed neural networks                                                                                  Bert Claessens                                                                                  implemenation of Demand response for residential building heating: Effective Monte Carlo Tree Search control based on physics-informed neural networks
Demand response for residential building heating: Effective Monte Carlo Tree Search control based on physics-informed neural networks                                                                                  Gargya Gokhale                                                                                  implemenation of Demand response for residential building heating: Effective Monte Carlo Tree Search control based on physics-informed neural networks
Demand response for residential building heating: Effective Monte Carlo Tree Search control based on physics-informed neural networks                                                                                  Chris Develder                                                                                  implemenation of Demand response for residential building heating: Effective Monte Carlo Tree Search control based on physics-informed neural networks
Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning                                                                                  Darian Smalley                                                                                  implemenation of Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning
Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning                                                                                  Kaikui Xu                                                                                  implemenation of Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning
Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning                                                                                  Katayun Barmak                                                                                  implemenation of Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning
Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning                                                                                  Luke Holtzman                                                                                  implemenation of Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning
Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning                                                                                  Madisen Holbrook                                                                                  implemenation of Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning
Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning                                                                                  Masahiro Ishigami                                                                                  implemenation of Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning
Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning                                                                                  Matthew R. Rosenberger                                                                                  implemenation of Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning
Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning                                                                                  Stephanie D. Lough                                                                                  implemenation of Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning
Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning                                                                                  J. C. Hone                                                                                  implemenation of Detecting Atomic Scale Surface Defects in STM of TMDs with Ensemble Deep Learning
Do Bayesian Neural Networks Improve Weapon System Predictive Maintenance?                                                                                  Miru Jun                                                                                  implemenation of Do Bayesian Neural Networks Improve Weapon System Predictive Maintenance?
Do Bayesian Neural Networks Improve Weapon System Predictive Maintenance?                                                                                  Michael Potter                                                                                  implemenation of Do Bayesian Neural Networks Improve Weapon System Predictive Maintenance?
Estimation of Physical Parameters of Waveforms With Neural Networks                                                                                  Mathilde Letard                                                                                  implemenation of Estimation of Physical Parameters of Waveforms With Neural Networks
Estimation of Physical Parameters of Waveforms With Neural Networks                                                                                  Dirk Tiede                                                                                  implemenation of Estimation of Physical Parameters of Waveforms With Neural Networks
Estimation of Physical Parameters of Waveforms With Neural Networks                                                                                  Thomas Corpetti                                                                                  implemenation of Estimation of Physical Parameters of Waveforms With Neural Networks
Estimation of Physical Parameters of Waveforms With Neural Networks                                                                                  Saad Ahmed Jamal                                                                                  implemenation of Estimation of Physical Parameters of Waveforms With Neural Networks
Estimation of Physical Parameters of Waveforms With Neural Networks                                                                                  Dimitri Lague                                                                                  implemenation of Estimation of Physical Parameters of Waveforms With Neural Networks
Exploring Machine Learning Models for Federated Learning: A Review of Approaches, Performance, and Limitations                                                                                  Mona Zamankhani                                                                                  implemenation of Exploring Machine Learning Models for Federated Learning: A Review of Approaches, Performance, and Limitations
Exploring Machine Learning Models for Federated Learning: A Review of Approaches, Performance, and Limitations                                                                                  Elaheh Jafarigol                                                                                  implemenation of Exploring Machine Learning Models for Federated Learning: A Review of Approaches, Performance, and Limitations
Exploring Machine Learning Models for Federated Learning: A Review of Approaches, Performance, and Limitations                                                                                  Theodore Trafalis                                                                                  implemenation of Exploring Machine Learning Models for Federated Learning: A Review of Approaches, Performance, and Limitations
Exploring Machine Learning Models for Federated Learning: A Review of Approaches, Performance, and Limitations                                                                                  Talayeh Razzaghi                                                                                  implemenation of Exploring Machine Learning Models for Federated Learning: A Review of Approaches, Performance, and Limitations
First qualitative observations on deep learning vision model YOLO and DETR for automated driving in Austria                                                                                  Stefan Schoder                                                                                  implemenation of First qualitative observations on deep learning vision model YOLO and DETR for automated driving in Austria
Calibration in Machine Learning Uncertainty Quantification: beyond consistency to target adaptivity                                                                                  Pascal Pernot                                                                                  implemenation of Calibration in Machine Learning Uncertainty Quantification: beyond consistency to target adaptivity
Energy-efficient Spiking Neural Network Equalization for IM/DD Systems with Optimized Neural Encoding                                                                                  Alexander von Bank                                                                                  implemenation of Energy-efficient Spiking Neural Network Equalization for IM/DD Systems with Optimized Neural Encoding
Energy-efficient Spiking Neural Network Equalization for IM/DD Systems with Optimized Neural Encoding                                                                                  Eike-Manuel Edelmann                                                                                  implemenation of Energy-efficient Spiking Neural Network Equalization for IM/DD Systems with Optimized Neural Encoding
Energy-efficient Spiking Neural Network Equalization for IM/DD Systems with Optimized Neural Encoding                                                                                  Laurent Schmalen                                                                                  implemenation of Energy-efficient Spiking Neural Network Equalization for IM/DD Systems with Optimized Neural Encoding
Finding Concept Representations in Neural Networks with Self-Organizing Maps                                                                                  Mathieu d'Aquin                                                                                  implemenation of Finding Concept Representations in Neural Networks with Self-Organizing Maps
Boosting Column Generation with Graph Neural Networks for Joint Rider Trip Planning and Crew Shift Scheduling                                                                                  Tinghan Ye                                                                                  implemenation of Boosting Column Generation with Graph Neural Networks for Joint Rider Trip Planning and Crew Shift Scheduling
Boosting Column Generation with Graph Neural Networks for Joint Rider Trip Planning and Crew Shift Scheduling                                                                                  Pascal Van Hentenryck                                                                                  implemenation of Boosting Column Generation with Graph Neural Networks for Joint Rider Trip Planning and Crew Shift Scheduling
Boosting Column Generation with Graph Neural Networks for Joint Rider Trip Planning and Crew Shift Scheduling                                                                                  Jiawei Lu                                                                                  implemenation of Boosting Column Generation with Graph Neural Networks for Joint Rider Trip Planning and Crew Shift Scheduling
Boosting Column Generation with Graph Neural Networks for Joint Rider Trip Planning and Crew Shift Scheduling                                                                                  Wenbo Chen                                                                                  implemenation of Boosting Column Generation with Graph Neural Networks for Joint Rider Trip Planning and Crew Shift Scheduling
Embedded Temporal Feature Selection for Time Series Forecasting Using Deep Learning                                                                                  Francisco Martínez-Álvarez                                                                                  implemenation of Embedded Temporal Feature Selection for Time Series Forecasting Using Deep Learning
Embedded Temporal Feature Selection for Time Series Forecasting Using Deep Learning                                                                                  Gualberto Asencio-Cortés                                                                                  implemenation of Embedded Temporal Feature Selection for Time Series Forecasting Using Deep Learning
Embedded Temporal Feature Selection for Time Series Forecasting Using Deep Learning                                                                                  Manuel Jesús Jiménez-Navarro                                                                                  implemenation of Embedded Temporal Feature Selection for Time Series Forecasting Using Deep Learning
Embedded Temporal Feature Selection for Time Series Forecasting Using Deep Learning                                                                                  María Martínez-Ballesteros                                                                                  implemenation of Embedded Temporal Feature Selection for Time Series Forecasting Using Deep Learning
A Semi-Supervised Deep Learning Approach to Dataset Collection for Query-By-Humming Task                                                                                  Maksim Titov                                                                                  implemenation of A Semi-Supervised Deep Learning Approach to Dataset Collection for Query-By-Humming Task
A Semi-Supervised Deep Learning Approach to Dataset Collection for Query-By-Humming Task                                                                                  Dmitry Lamanov                                                                                  implemenation of A Semi-Supervised Deep Learning Approach to Dataset Collection for Query-By-Humming Task
A Semi-Supervised Deep Learning Approach to Dataset Collection for Query-By-Humming Task                                                                                  Ilya Makarov                                                                                  implemenation of A Semi-Supervised Deep Learning Approach to Dataset Collection for Query-By-Humming Task
A Semi-Supervised Deep Learning Approach to Dataset Collection for Query-By-Humming Task                                                                                  Mikhail Kudinov                                                                                  implemenation of A Semi-Supervised Deep Learning Approach to Dataset Collection for Query-By-Humming Task
A Semi-Supervised Deep Learning Approach to Dataset Collection for Query-By-Humming Task                                                                                  Amantur Amatov                                                                                  implemenation of A Semi-Supervised Deep Learning Approach to Dataset Collection for Query-By-Humming Task
A Semi-Supervised Deep Learning Approach to Dataset Collection for Query-By-Humming Task                                                                                  Ivan Vovk                                                                                  implemenation of A Semi-Supervised Deep Learning Approach to Dataset Collection for Query-By-Humming Task
A deep learning pipeline for cross-sectional and longitudinal multiview data integration                                                                                  Sarthak Jain                                                                                  implemenation of A deep learning pipeline for cross-sectional and longitudinal multiview data integration
A deep learning pipeline for cross-sectional and longitudinal multiview data integration                                                                                  Sandra E. Safo                                                                                  implemenation of A deep learning pipeline for cross-sectional and longitudinal multiview data integration
Detecting Emotions Through Machine Learning for Automatic UX Evaluation                                                                                  Giuseppe Desolda                                                                                  implemenation of Detecting Emotions Through Machine Learning for Automatic UX Evaluation
Detecting Emotions Through Machine Learning for Automatic UX Evaluation                                                                                  Rosa Lanzilotti                                                                                  implemenation of Detecting Emotions Through Machine Learning for Automatic UX Evaluation
Detecting Emotions Through Machine Learning for Automatic UX Evaluation                                                                                  and Maria F. Costabile                                                                                  implemenation of Detecting Emotions Through Machine Learning for Automatic UX Evaluation
Detecting Emotions Through Machine Learning for Automatic UX Evaluation                                                                                  Andrea Esposito                                                                                  implemenation of Detecting Emotions Through Machine Learning for Automatic UX Evaluation
Double Machine Learning for Static Panel Models with Fixed Effects                                                                                  Annalivia Polselli                                                                                  implemenation of Double Machine Learning for Static Panel Models with Fixed Effects
Double Machine Learning for Static Panel Models with Fixed Effects                                                                                  Paul Clarke                                                                                  implemenation of Double Machine Learning for Static Panel Models with Fixed Effects
Audio-based drone detection and identification using deep learning techniques with dataset enhancement through generative adversarial networks                                                                                  Abdulaziz Al-Ali                                                                                  implemenation of Audio-based drone detection and identification using deep learning techniques with dataset enhancement through generative adversarial networks
Audio-based drone detection and identification using deep learning techniques with dataset enhancement through generative adversarial networks                                                                                  Abdulla Al-Ali                                                                                  implemenation of Audio-based drone detection and identification using deep learning techniques with dataset enhancement through generative adversarial networks
Audio-based drone detection and identification using deep learning techniques with dataset enhancement through generative adversarial networks                                                                                  Sara Al-Emadi                                                                                  implemenation of Audio-based drone detection and identification using deep learning techniques with dataset enhancement through generative adversarial networks
Attacks in Adversarial Machine Learning: A Systematic Survey from the Life-cycle Perspective                                                                                  Zhaofeng He                                                                                  implemenation of Attacks in Adversarial Machine Learning: A Systematic Survey from the Life-cycle Perspective
Attacks in Adversarial Machine Learning: A Systematic Survey from the Life-cycle Perspective                                                                                  Zihao Zhu                                                                                  implemenation of Attacks in Adversarial Machine Learning: A Systematic Survey from the Life-cycle Perspective
Attacks in Adversarial Machine Learning: A Systematic Survey from the Life-cycle Perspective                                                                                  Li Liu                                                                                  implemenation of Attacks in Adversarial Machine Learning: A Systematic Survey from the Life-cycle Perspective
Attacks in Adversarial Machine Learning: A Systematic Survey from the Life-cycle Perspective                                                                                  Siwei Lyu                                                                                  implemenation of Attacks in Adversarial Machine Learning: A Systematic Survey from the Life-cycle Perspective
Attacks in Adversarial Machine Learning: A Systematic Survey from the Life-cycle Perspective                                                                                  Baoyuan Wu                                                                                  implemenation of Attacks in Adversarial Machine Learning: A Systematic Survey from the Life-cycle Perspective
Attacks in Adversarial Machine Learning: A Systematic Survey from the Life-cycle Perspective                                                                                  Qingshan Liu                                                                                  implemenation of Attacks in Adversarial Machine Learning: A Systematic Survey from the Life-cycle Perspective
Brain Tumor Segmentation Based on Deep Learning, Attention Mechanisms, and Energy-Based Uncertainty Prediction                                                                                  Zachary Schwehr                                                                                  implemenation of Brain Tumor Segmentation Based on Deep Learning, Attention Mechanisms, and Energy-Based Uncertainty Prediction
Brain Tumor Segmentation Based on Deep Learning, Attention Mechanisms, and Energy-Based Uncertainty Prediction                                                                                  Sriman Achanta                                                                                  implemenation of Brain Tumor Segmentation Based on Deep Learning, Attention Mechanisms, and Energy-Based Uncertainty Prediction
ChebNet: Efficient and Stable Constructions of Deep Neural Networks with Rectified Power Units via Chebyshev Approximations                                                                                  Bo Li                                                                                  implemenation of ChebNet: Efficient and Stable Constructions of Deep Neural Networks with Rectified Power Units via Chebyshev Approximations
ChebNet: Efficient and Stable Constructions of Deep Neural Networks with Rectified Power Units via Chebyshev Approximations                                                                                  Haijun Yu                                                                                  implemenation of ChebNet: Efficient and Stable Constructions of Deep Neural Networks with Rectified Power Units via Chebyshev Approximations
ChebNet: Efficient and Stable Constructions of Deep Neural Networks with Rectified Power Units via Chebyshev Approximations                                                                                  Shanshan Tang                                                                                  implemenation of ChebNet: Efficient and Stable Constructions of Deep Neural Networks with Rectified Power Units via Chebyshev Approximations
Deep learning-driven fragment ion series classification enables highly precise and sensitive de novo peptide sequencing                                                                                  Johannes Hingerl                                                                                  implemenation of Deep learning-driven fragment ion series classification enables highly precise and sensitive de novo peptide sequencing
Deep learning-driven fragment ion series classification enables highly precise and sensitive de novo peptide sequencing                                                                                  Daniela Klaproth-Andrade                                                                                  implemenation of Deep learning-driven fragment ion series classification enables highly precise and sensitive de novo peptide sequencing
Deep learning-driven fragment ion series classification enables highly precise and sensitive de novo peptide sequencing                                                                                  Jakob Träuble                                                                                  implemenation of Deep learning-driven fragment ion series classification enables highly precise and sensitive de novo peptide sequencing
Deep learning-driven fragment ion series classification enables highly precise and sensitive de novo peptide sequencing                                                                                  Mathias Wilhelm                                                                                  implemenation of Deep learning-driven fragment ion series classification enables highly precise and sensitive de novo peptide sequencing
Deep learning-driven fragment ion series classification enables highly precise and sensitive de novo peptide sequencing                                                                                  Nicholas H. Smith                                                                                  implemenation of Deep learning-driven fragment ion series classification enables highly precise and sensitive de novo peptide sequencing
Deep learning-driven fragment ion series classification enables highly precise and sensitive de novo peptide sequencing                                                                                  Julien Gagneur                                                                                  implemenation of Deep learning-driven fragment ion series classification enables highly precise and sensitive de novo peptide sequencing
CORNN: Convex optimization of recurrent neural networks for rapid inference of neural dynamics                                                                                  Hidenori Tanaka                                                                                  implemenation of CORNN: Convex optimization of recurrent neural networks for rapid inference of neural dynamics
CORNN: Convex optimization of recurrent neural networks for rapid inference of neural dynamics                                                                                  Adam Shai                                                                                  implemenation of CORNN: Convex optimization of recurrent neural networks for rapid inference of neural dynamics
CORNN: Convex optimization of recurrent neural networks for rapid inference of neural dynamics                                                                                  Fatih Dinc                                                                                  implemenation of CORNN: Convex optimization of recurrent neural networks for rapid inference of neural dynamics
CORNN: Convex optimization of recurrent neural networks for rapid inference of neural dynamics                                                                                  Mark Schnitzer                                                                                  implemenation of CORNN: Convex optimization of recurrent neural networks for rapid inference of neural dynamics
$μ$GUIDE: a framework for microstructure imaging via generalized uncertainty-driven inference using deep learning                                                                                  Maëliss Jallais                                                                                  implemenation of $μ$GUIDE: a framework for microstructure imaging via generalized uncertainty-driven inference using deep learning
$μ$GUIDE: a framework for microstructure imaging via generalized uncertainty-driven inference using deep learning                                                                                  Marco Palombo                                                                                  implemenation of $μ$GUIDE: a framework for microstructure imaging via generalized uncertainty-driven inference using deep learning
Brain-inspired Computing Based on Machine Learning And Deep Learning:A Review                                                                                  Bihui Yu                                                                                  implemenation of Brain-inspired Computing Based on Machine Learning And Deep Learning:A Review
Brain-inspired Computing Based on Machine Learning And Deep Learning:A Review                                                                                  Sibo Zhang                                                                                  implemenation of Brain-inspired Computing Based on Machine Learning And Deep Learning:A Review
