Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicated_grouped/query_32.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
characteristicName                                                                featureCount
FCFP6_1024_342 number of missing values                                                                                  1083
FCFP6_1024_343 data-type                                                                                  1083
FCFP6_1024_343 number of missing values                                                                                  1083
FCFP6_1024_345 data-type                                                                                  1083
FCFP6_1024_345 number of missing values                                                                                  1083
FCFP6_1024_346 data-type                                                                                  1083
FCFP6_1024_346 number of missing values                                                                                  1083
FCFP6_1024_347 data-type                                                                                  1083
FCFP6_1024_347 number of missing values                                                                                  1083
FCFP6_1024_348 data-type                                                                                  1083
FCFP6_1024_348 number of missing values                                                                                  1083
FCFP6_1024_34 data-type                                                                                  1083
FCFP6_1024_34 number of missing values                                                                                  1083
FCFP6_1024_349 data-type                                                                                  1083
FCFP6_1024_349 number of missing values                                                                                  1083
FCFP6_1024_350 data-type                                                                                  1083
FCFP6_1024_350 number of missing values                                                                                  1083
FCFP6_1024_351 data-type                                                                                  1083
FCFP6_1024_351 number of missing values                                                                                  1083
FCFP6_1024_352 data-type                                                                                  1083
FCFP6_1024_352 number of missing values                                                                                  1083
FCFP6_1024_353 data-type                                                                                  1083
FCFP6_1024_353 number of missing values                                                                                  1083
FCFP6_1024_354 data-type                                                                                  1083
FCFP6_1024_354 number of missing values                                                                                  1083
FCFP6_1024_355 data-type                                                                                  1083
FCFP6_1024_355 number of missing values                                                                                  1083
FCFP6_1024_356 data-type                                                                                  1083
FCFP6_1024_356 number of missing values                                                                                  1083
FCFP6_1024_357 data-type                                                                                  1083
FCFP6_1024_357 number of missing values                                                                                  1083
FCFP6_1024_358 data-type                                                                                  1083
FCFP6_1024_358 number of missing values                                                                                  1083
FCFP6_1024_35 data-type                                                                                  1083
FCFP6_1024_35 number of missing values                                                                                  1083
FCFP6_1024_359 data-type                                                                                  1083
FCFP6_1024_359 number of missing values                                                                                  1083
FCFP6_1024_360 data-type                                                                                  1083
FCFP6_1024_360 number of missing values                                                                                  1083
FCFP6_1024_361 data-type                                                                                  1083
FCFP6_1024_361 number of missing values                                                                                  1083
FCFP6_1024_362 data-type                                                                                  1083
FCFP6_1024_362 number of missing values                                                                                  1083
FCFP6_1024_363 data-type                                                                                  1083
FCFP6_1024_363 number of missing values                                                                                  1083
FCFP6_1024_364 data-type                                                                                  1083
FCFP6_1024_364 number of missing values                                                                                  1083
FCFP6_1024_365 data-type                                                                                  1083
FCFP6_1024_365 number of missing values                                                                                  1083
FCFP6_1024_366 data-type                                                                                  1083
FCFP6_1024_366 number of missing values                                                                                  1083
FCFP6_1024_367 data-type                                                                                  1083
FCFP6_1024_367 number of missing values                                                                                  1083
FCFP6_1024_368 data-type                                                                                  1083
FCFP6_1024_368 number of missing values                                                                                  1083
FCFP6_1024_36 data-type                                                                                  1083
FCFP6_1024_36 number of missing values                                                                                  1083
FCFP6_1024_369 data-type                                                                                  1083
FCFP6_1024_369 number of missing values                                                                                  1083
FCFP6_1024_370 data-type                                                                                  1083
FCFP6_1024_370 number of missing values                                                                                  1083
FCFP6_1024_371 data-type                                                                                  1083
FCFP6_1024_371 number of missing values                                                                                  1083
FCFP6_1024_372 data-type                                                                                  1083
FCFP6_1024_372 number of missing values                                                                                  1083
FCFP6_1024_373 data-type                                                                                  1083
FCFP6_1024_373 number of missing values                                                                                  1083
FCFP6_1024_375 data-type                                                                                  1083
FCFP6_1024_375 number of missing values                                                                                  1083
FCFP6_1024_376 data-type                                                                                  1083
FCFP6_1024_376 number of missing values                                                                                  1083
FCFP6_1024_377 data-type                                                                                  1083
FCFP6_1024_377 number of missing values                                                                                  1083
FCFP6_1024_378 data-type                                                                                  1083
FCFP6_1024_378 number of missing values                                                                                  1083
FCFP6_1024_37 data-type                                                                                  1083
FCFP6_1024_37 number of missing values                                                                                  1083
FCFP6_1024_379 data-type                                                                                  1083
FCFP6_1024_379 number of missing values                                                                                  1083
FCFP6_1024_380 data-type                                                                                  1083
FCFP6_1024_380 number of missing values                                                                                  1083
FCFP6_1024_381 data-type                                                                                  1083
FCFP6_1024_381 number of missing values                                                                                  1083
FCFP6_1024_382 data-type                                                                                  1083
FCFP6_1024_382 number of missing values                                                                                  1083
FCFP6_1024_383 data-type                                                                                  1083
FCFP6_1024_383 number of missing values                                                                                  1083
FCFP6_1024_384 data-type                                                                                  1083
FCFP6_1024_384 number of missing values                                                                                  1083
FCFP6_1024_386 data-type                                                                                  1083
FCFP6_1024_386 number of missing values                                                                                  1083
FCFP6_1024_387 data-type                                                                                  1083
FCFP6_1024_387 number of missing values                                                                                  1083
FCFP6_1024_388 data-type                                                                                  1083
FCFP6_1024_388 number of missing values                                                                                  1083
FCFP6_1024_38 data-type                                                                                  1083
FCFP6_1024_38 number of missing values                                                                                  1083
FCFP6_1024_389 data-type                                                                                  1083
FCFP6_1024_389 number of missing values                                                                                  1083
FCFP6_1024_390 data-type                                                                                  1083
FCFP6_1024_390 number of missing values                                                                                  1083
FCFP6_1024_391 data-type                                                                                  1083
FCFP6_1024_391 number of missing values                                                                                  1083
FCFP6_1024_394 data-type                                                                                  1083
FCFP6_1024_394 number of missing values                                                                                  1083
FCFP6_1024_395 data-type                                                                                  1083
FCFP6_1024_395 number of missing values                                                                                  1083
FCFP6_1024_396 data-type                                                                                  1083
FCFP6_1024_396 number of missing values                                                                                  1083
FCFP6_1024_397 data-type                                                                                  1083
FCFP6_1024_397 number of missing values                                                                                  1083
FCFP6_1024_398 data-type                                                                                  1083
FCFP6_1024_398 number of missing values                                                                                  1083
FCFP6_1024_39 data-type                                                                                  1083
FCFP6_1024_39 number of missing values                                                                                  1083
FCFP6_1024_399 data-type                                                                                  1083
FCFP6_1024_399 number of missing values                                                                                  1083
FCFP6_1024_400 data-type                                                                                  1083
FCFP6_1024_400 number of missing values                                                                                  1083
FCFP6_1024_401 data-type                                                                                  1083
FCFP6_1024_401 number of missing values                                                                                  1083
FCFP6_1024_402 data-type                                                                                  1083
FCFP6_1024_402 number of missing values                                                                                  1083
FCFP6_1024_403 data-type                                                                                  1083
FCFP6_1024_403 number of missing values                                                                                  1083
FCFP6_1024_404 data-type                                                                                  1083
FCFP6_1024_404 number of missing values                                                                                  1083
FCFP6_1024_405 data-type                                                                                  1083
FCFP6_1024_405 number of missing values                                                                                  1083
FCFP6_1024_406 data-type                                                                                  1083
FCFP6_1024_406 number of missing values                                                                                  1083
FCFP6_1024_407 data-type                                                                                  1083
FCFP6_1024_407 number of missing values                                                                                  1083
FCFP6_1024_408 data-type                                                                                  1083
FCFP6_1024_408 number of missing values                                                                                  1083
FCFP6_1024_40 data-type                                                                                  1083
FCFP6_1024_40 number of missing values                                                                                  1083
FCFP6_1024_409 data-type                                                                                  1083
FCFP6_1024_409 number of missing values                                                                                  1083
FCFP6_1024_410 data-type                                                                                  1083
FCFP6_1024_410 number of missing values                                                                                  1083
FCFP6_1024_411 data-type                                                                                  1083
FCFP6_1024_411 number of missing values                                                                                  1083
FCFP6_1024_412 data-type                                                                                  1083
FCFP6_1024_412 number of missing values                                                                                  1083
FCFP6_1024_413 data-type                                                                                  1083
FCFP6_1024_413 number of missing values                                                                                  1083
FCFP6_1024_414 data-type                                                                                  1083
FCFP6_1024_414 number of missing values                                                                                  1083
FCFP6_1024_416 data-type                                                                                  1083
FCFP6_1024_416 number of missing values                                                                                  1083
FCFP6_1024_417 data-type                                                                                  1083
FCFP6_1024_417 number of missing values                                                                                  1083
FCFP6_1024_418 data-type                                                                                  1083
FCFP6_1024_418 number of missing values                                                                                  1083
FCFP6_1024_41 data-type                                                                                  1083
FCFP6_1024_41 number of missing values                                                                                  1083
FCFP6_1024_419 data-type                                                                                  1083
FCFP6_1024_419 number of missing values                                                                                  1083
FCFP6_1024_420 data-type                                                                                  1083
FCFP6_1024_420 number of missing values                                                                                  1083
FCFP6_1024_421 data-type                                                                                  1083
FCFP6_1024_421 number of missing values                                                                                  1083
FCFP6_1024_422 data-type                                                                                  1083
FCFP6_1024_422 number of missing values                                                                                  1083
FCFP6_1024_423 data-type                                                                                  1083
FCFP6_1024_423 number of missing values                                                                                  1083
FCFP6_1024_424 data-type                                                                                  1083
FCFP6_1024_424 number of missing values                                                                                  1083
FCFP6_1024_425 data-type                                                                                  1083
FCFP6_1024_425 number of missing values                                                                                  1083
FCFP6_1024_426 data-type                                                                                  1083
FCFP6_1024_426 number of missing values                                                                                  1083
FCFP6_1024_427 data-type                                                                                  1083
FCFP6_1024_427 number of missing values                                                                                  1083
FCFP6_1024_428 data-type                                                                                  1083
FCFP6_1024_428 number of missing values                                                                                  1083
FCFP6_1024_42 data-type                                                                                  1083
FCFP6_1024_42 number of missing values                                                                                  1083
FCFP6_1024_429 data-type                                                                                  1083
FCFP6_1024_429 number of missing values                                                                                  1083
FCFP6_1024_430 data-type                                                                                  1083
FCFP6_1024_430 number of missing values                                                                                  1083
FCFP6_1024_431 data-type                                                                                  1083
FCFP6_1024_431 number of missing values                                                                                  1083
FCFP6_1024_432 data-type                                                                                  1083
FCFP6_1024_432 number of missing values                                                                                  1083
FCFP6_1024_433 data-type                                                                                  1083
FCFP6_1024_433 number of missing values                                                                                  1083
FCFP6_1024_434 data-type                                                                                  1083
FCFP6_1024_434 number of missing values                                                                                  1083
FCFP6_1024_435 data-type                                                                                  1083
FCFP6_1024_435 number of missing values                                                                                  1083
FCFP6_1024_436 data-type                                                                                  1083
FCFP6_1024_436 number of missing values                                                                                  1083
FCFP6_1024_437 data-type                                                                                  1083
FCFP6_1024_437 number of missing values                                                                                  1083
FCFP6_1024_438 data-type                                                                                  1083
FCFP6_1024_438 number of missing values                                                                                  1083
FCFP6_1024_43 data-type                                                                                  1083
FCFP6_1024_43 number of missing values                                                                                  1083
FCFP6_1024_439 data-type                                                                                  1083
FCFP6_1024_439 number of missing values                                                                                  1083
FCFP6_1024_440 data-type                                                                                  1083
FCFP6_1024_440 number of missing values                                                                                  1083
FCFP6_1024_441 data-type                                                                                  1083
FCFP6_1024_441 number of missing values                                                                                  1083
FCFP6_1024_442 data-type                                                                                  1083
FCFP6_1024_442 number of missing values                                                                                  1083
FCFP6_1024_443 data-type                                                                                  1083
FCFP6_1024_443 number of missing values                                                                                  1083
FCFP6_1024_444 data-type                                                                                  1083
FCFP6_1024_444 number of missing values                                                                                  1083
FCFP6_1024_445 data-type                                                                                  1083
FCFP6_1024_445 number of missing values                                                                                  1083
FCFP6_1024_446 data-type                                                                                  1083
FCFP6_1024_446 number of missing values                                                                                  1083
FCFP6_1024_447 data-type                                                                                  1083
FCFP6_1024_447 number of missing values                                                                                  1083
FCFP6_1024_448 data-type                                                                                  1083
FCFP6_1024_448 number of missing values                                                                                  1083
FCFP6_1024_44 data-type                                                                                  1083
FCFP6_1024_44 number of missing values                                                                                  1083
FCFP6_1024_449 data-type                                                                                  1083
FCFP6_1024_449 number of missing values                                                                                  1083
FCFP6_1024_450 data-type                                                                                  1083
FCFP6_1024_450 number of missing values                                                                                  1083
FCFP6_1024_451 data-type                                                                                  1083
FCFP6_1024_451 number of missing values                                                                                  1083
FCFP6_1024_452 data-type                                                                                  1083
FCFP6_1024_452 number of missing values                                                                                  1083
FCFP6_1024_453 data-type                                                                                  1083
FCFP6_1024_453 number of missing values                                                                                  1083
FCFP6_1024_454 data-type                                                                                  1083
FCFP6_1024_454 number of missing values                                                                                  1083
FCFP6_1024_455 data-type                                                                                  1083
FCFP6_1024_455 number of missing values                                                                                  1083
FCFP6_1024_456 data-type                                                                                  1083
FCFP6_1024_456 number of missing values                                                                                  1083
FCFP6_1024_457 data-type                                                                                  1083
FCFP6_1024_457 number of missing values                                                                                  1083
FCFP6_1024_458 data-type                                                                                  1083
FCFP6_1024_458 number of missing values                                                                                  1083
FCFP6_1024_45 data-type                                                                                  1083
FCFP6_1024_45 number of missing values                                                                                  1083
FCFP6_1024_459 data-type                                                                                  1083
FCFP6_1024_459 number of missing values                                                                                  1083
FCFP6_1024_460 data-type                                                                                  1083
FCFP6_1024_460 number of missing values                                                                                  1083
FCFP6_1024_461 data-type                                                                                  1083
FCFP6_1024_461 number of missing values                                                                                  1083
FCFP6_1024_462 data-type                                                                                  1083
FCFP6_1024_462 number of missing values                                                                                  1083
FCFP6_1024_463 data-type                                                                                  1083
FCFP6_1024_463 number of missing values                                                                                  1083
FCFP6_1024_464 data-type                                                                                  1083
FCFP6_1024_464 number of missing values                                                                                  1083
FCFP6_1024_465 data-type                                                                                  1083
FCFP6_1024_465 number of missing values                                                                                  1083
FCFP6_1024_466 data-type                                                                                  1083
FCFP6_1024_466 number of missing values                                                                                  1083
FCFP6_1024_467 data-type                                                                                  1083
FCFP6_1024_467 number of missing values                                                                                  1083
FCFP6_1024_46 data-type                                                                                  1083
FCFP6_1024_46 number of missing values                                                                                  1083
FCFP6_1024_469 data-type                                                                                  1083
FCFP6_1024_469 number of missing values                                                                                  1083
FCFP6_1024_470 data-type                                                                                  1083
FCFP6_1024_470 number of missing values                                                                                  1083
FCFP6_1024_471 data-type                                                                                  1083
FCFP6_1024_471 number of missing values                                                                                  1083
FCFP6_1024_472 data-type                                                                                  1083
FCFP6_1024_472 number of missing values                                                                                  1083
FCFP6_1024_473 data-type                                                                                  1083
FCFP6_1024_473 number of missing values                                                                                  1083
FCFP6_1024_474 data-type                                                                                  1083
FCFP6_1024_474 number of missing values                                                                                  1083
FCFP6_1024_475 data-type                                                                                  1083
FCFP6_1024_475 number of missing values                                                                                  1083
FCFP6_1024_476 data-type                                                                                  1083
FCFP6_1024_476 number of missing values                                                                                  1083
FCFP6_1024_477 data-type                                                                                  1083
FCFP6_1024_477 number of missing values                                                                                  1083
FCFP6_1024_478 data-type                                                                                  1083
FCFP6_1024_478 number of missing values                                                                                  1083
FCFP6_1024_47 data-type                                                                                  1083
FCFP6_1024_47 number of missing values                                                                                  1083
FCFP6_1024_479 data-type                                                                                  1083
FCFP6_1024_479 number of missing values                                                                                  1083
FCFP6_1024_480 data-type                                                                                  1083
FCFP6_1024_480 number of missing values                                                                                  1083
FCFP6_1024_481 data-type                                                                                  1083
FCFP6_1024_481 number of missing values                                                                                  1083
FCFP6_1024_482 data-type                                                                                  1083
FCFP6_1024_482 number of missing values                                                                                  1083
FCFP6_1024_483 data-type                                                                                  1083
FCFP6_1024_483 number of missing values                                                                                  1083
FCFP6_1024_484 data-type                                                                                  1083
FCFP6_1024_484 number of missing values                                                                                  1083
FCFP6_1024_485 data-type                                                                                  1083
FCFP6_1024_485 number of missing values                                                                                  1083
FCFP6_1024_486 data-type                                                                                  1083
FCFP6_1024_486 number of missing values                                                                                  1083
FCFP6_1024_487 data-type                                                                                  1083
FCFP6_1024_487 number of missing values                                                                                  1083
FCFP6_1024_488 data-type                                                                                  1083
FCFP6_1024_488 number of missing values                                                                                  1083
FCFP6_1024_48 data-type                                                                                  1083
FCFP6_1024_48 number of missing values                                                                                  1083
FCFP6_1024_489 data-type                                                                                  1083
FCFP6_1024_489 number of missing values                                                                                  1083
FCFP6_1024_490 data-type                                                                                  1083
FCFP6_1024_490 number of missing values                                                                                  1083
FCFP6_1024_491 data-type                                                                                  1083
FCFP6_1024_491 number of missing values                                                                                  1083
FCFP6_1024_492 data-type                                                                                  1083
FCFP6_1024_492 number of missing values                                                                                  1083
FCFP6_1024_493 data-type                                                                                  1083
FCFP6_1024_493 number of missing values                                                                                  1083
FCFP6_1024_494 data-type                                                                                  1083
FCFP6_1024_494 number of missing values                                                                                  1083
FCFP6_1024_495 data-type                                                                                  1083
FCFP6_1024_495 number of missing values                                                                                  1083
FCFP6_1024_496 data-type                                                                                  1083
FCFP6_1024_496 number of missing values                                                                                  1083
FCFP6_1024_497 data-type                                                                                  1083
FCFP6_1024_497 number of missing values                                                                                  1083
FCFP6_1024_498 data-type                                                                                  1083
FCFP6_1024_498 number of missing values                                                                                  1083
FCFP6_1024_4 data-type                                                                                  1083
FCFP6_1024_4 number of missing values                                                                                  1083
FCFP6_1024_49 data-type                                                                                  1083
FCFP6_1024_49 number of missing values                                                                                  1083
FCFP6_1024_499 data-type                                                                                  1083
FCFP6_1024_499 number of missing values                                                                                  1083
FCFP6_1024_500 data-type                                                                                  1083
FCFP6_1024_500 number of missing values                                                                                  1083
FCFP6_1024_501 data-type                                                                                  1083
FCFP6_1024_501 number of missing values                                                                                  1083
FCFP6_1024_502 data-type                                                                                  1083
FCFP6_1024_502 number of missing values                                                                                  1083
FCFP6_1024_503 data-type                                                                                  1083
FCFP6_1024_503 number of missing values                                                                                  1083
FCFP6_1024_504 data-type                                                                                  1083
FCFP6_1024_504 number of missing values                                                                                  1083
FCFP6_1024_505 data-type                                                                                  1083
FCFP6_1024_505 number of missing values                                                                                  1083
FCFP6_1024_506 data-type                                                                                  1083
FCFP6_1024_506 number of missing values                                                                                  1083
FCFP6_1024_507 data-type                                                                                  1083
FCFP6_1024_507 number of missing values                                                                                  1083
FCFP6_1024_508 data-type                                                                                  1083
FCFP6_1024_508 number of missing values                                                                                  1083
FCFP6_1024_50 data-type                                                                                  1083
FCFP6_1024_50 number of missing values                                                                                  1083
FCFP6_1024_509 data-type                                                                                  1083
FCFP6_1024_509 number of missing values                                                                                  1083
FCFP6_1024_510 data-type                                                                                  1083
FCFP6_1024_510 number of missing values                                                                                  1083
FCFP6_1024_511 data-type                                                                                  1083
FCFP6_1024_511 number of missing values                                                                                  1083
FCFP6_1024_512 data-type                                                                                  1083
FCFP6_1024_512 number of missing values                                                                                  1083
FCFP6_1024_513 data-type                                                                                  1083
FCFP6_1024_513 number of missing values                                                                                  1083
FCFP6_1024_514 data-type                                                                                  1083
FCFP6_1024_514 number of missing values                                                                                  1083
FCFP6_1024_515 data-type                                                                                  1083
FCFP6_1024_515 number of missing values                                                                                  1083
FCFP6_1024_516 data-type                                                                                  1083
FCFP6_1024_516 number of missing values                                                                                  1083
FCFP6_1024_518 data-type                                                                                  1083
FCFP6_1024_518 number of missing values                                                                                  1083
FCFP6_1024_51 data-type                                                                                  1083
FCFP6_1024_51 number of missing values                                                                                  1083
FCFP6_1024_519 data-type                                                                                  1083
FCFP6_1024_519 number of missing values                                                                                  1083
FCFP6_1024_520 data-type                                                                                  1083
FCFP6_1024_520 number of missing values                                                                                  1083
FCFP6_1024_521 data-type                                                                                  1083
FCFP6_1024_521 number of missing values                                                                                  1083
FCFP6_1024_522 data-type                                                                                  1083
FCFP6_1024_522 number of missing values                                                                                  1083
FCFP6_1024_523 data-type                                                                                  1083
FCFP6_1024_523 number of missing values                                                                                  1083
FCFP6_1024_524 data-type                                                                                  1083
FCFP6_1024_524 number of missing values                                                                                  1083
FCFP6_1024_525 data-type                                                                                  1083
FCFP6_1024_525 number of missing values                                                                                  1083
FCFP6_1024_526 data-type                                                                                  1083
FCFP6_1024_526 number of missing values                                                                                  1083
FCFP6_1024_527 data-type                                                                                  1083
FCFP6_1024_527 number of missing values                                                                                  1083
FCFP6_1024_528 data-type                                                                                  1083
FCFP6_1024_528 number of missing values                                                                                  1083
FCFP6_1024_52 data-type                                                                                  1083
FCFP6_1024_52 number of missing values                                                                                  1083
FCFP6_1024_529 data-type                                                                                  1083
FCFP6_1024_529 number of missing values                                                                                  1083
FCFP6_1024_530 data-type                                                                                  1083
FCFP6_1024_530 number of missing values                                                                                  1083
FCFP6_1024_531 data-type                                                                                  1083
FCFP6_1024_531 number of missing values                                                                                  1083
FCFP6_1024_532 data-type                                                                                  1083
FCFP6_1024_532 number of missing values                                                                                  1083
FCFP6_1024_533 data-type                                                                                  1083
FCFP6_1024_533 number of missing values                                                                                  1083
FCFP6_1024_534 data-type                                                                                  1083
FCFP6_1024_534 number of missing values                                                                                  1083
FCFP6_1024_535 data-type                                                                                  1083
FCFP6_1024_535 number of missing values                                                                                  1083
FCFP6_1024_536 data-type                                                                                  1083
FCFP6_1024_536 number of missing values                                                                                  1083
FCFP6_1024_537 data-type                                                                                  1083
FCFP6_1024_537 number of missing values                                                                                  1083
FCFP6_1024_538 data-type                                                                                  1083
FCFP6_1024_538 number of missing values                                                                                  1083
FCFP6_1024_539 data-type                                                                                  1083
FCFP6_1024_539 number of missing values                                                                                  1083
FCFP6_1024_540 data-type                                                                                  1083
FCFP6_1024_540 number of missing values                                                                                  1083
FCFP6_1024_541 data-type                                                                                  1083
FCFP6_1024_541 number of missing values                                                                                  1083
FCFP6_1024_542 data-type                                                                                  1083
FCFP6_1024_542 number of missing values                                                                                  1083
FCFP6_1024_543 data-type                                                                                  1083
FCFP6_1024_543 number of missing values                                                                                  1083
FCFP6_1024_544 data-type                                                                                  1083
FCFP6_1024_544 number of missing values                                                                                  1083
FCFP6_1024_545 data-type                                                                                  1083
FCFP6_1024_545 number of missing values                                                                                  1083
FCFP6_1024_546 data-type                                                                                  1083
FCFP6_1024_546 number of missing values                                                                                  1083
FCFP6_1024_547 data-type                                                                                  1083
FCFP6_1024_547 number of missing values                                                                                  1083

1000 Rows. -- 46881 msec.
